,metadata,ArticleID,index,last name,first name,AuthorName,clean name,confirmed name,Sex
0,"Worswick, Gdn",11725,,Worswick, Gdn, Gdn Worswick,Gdn Worswick,George David Norman Worswick,Male
1,"Stigler, Gj",11726,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
2,"Stigler, Gj",11957,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
3,"Stigler, Gj",13559,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
4,"Stigler, Gj",14054,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
5,"Stigler, Gj",14603,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
6,"Stigler, Gj",14611,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
7,"Stigler, Gj",14886,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
8,"Stigler, Gj",17809,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
9,"Stigler, Gj",19285,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
10,"Stigler, Gj",24193,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
11,"Stigler, Gj",24448,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
12,"Stigler, Gj",25159,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
13,"Stigler, Gj",25407,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
14,"Stigler, Gj",26505,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
15,"Stigler, Gj",28017,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
16,"Stigler, Gj",28179,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
17,"Stigler, Gj",28299,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
18,"Stigler, Gj",28306,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
19,"Stigler, Gj",28320,,Stigler, Gj, Gj Stigler,Gj Stigler,George J. Stigler,Male
20,"Smith, Wl",11727,,Smith, Wl, Wl Smith,,,
21,"Smith, Wl",11765,,Smith, Wl, Wl Smith,,,
22,"Smith, Wl",11891,,Smith, Wl, Wl Smith,,,
23,"Smith, Wl",12798,,Smith, Wl, Wl Smith,,,
24,"Smith, Wl",12914,,Smith, Wl, Wl Smith,,,
25,"Smith, Wl",14727,,Smith, Wl, Wl Smith,,,
26,"Smith, Wl",17481,,Smith, Wl, Wl Smith,,,
27,"Smith, Wl",28224,,Smith, Wl, Wl Smith,,,
28,"Mikesell, Rf",11727,,Mikesell, Rf, Rf Mikesell,,,
29,"Mikesell, Rf",12732,,Mikesell, Rf, Rf Mikesell,,,
30,"Mikesell, Rf",27974,,Mikesell, Rf, Rf Mikesell,,,
31,"Gorman, Wm",11728,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
32,"Gorman, Wm",11812,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
33,"Gorman, Wm",12672,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
34,"Gorman, Wm",12674,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
35,"Gorman, Wm",12728,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
36,"Gorman, Wm",12792,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
37,"Gorman, Wm",17695,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
38,"Gorman, Wm",19366,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
39,"Gorman, Wm",24093,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
40,"Gorman, Wm",27574,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
41,"Gorman, Wm",27940,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
42,"Gorman, Wm",28178,,Gorman, Wm, Wm Gorman,Wm Gorman,William Moore Gorman,Male
43,"Nutter, Gw",11729,,Nutter, Gw, Gw Nutter,,,
44,"Nutter, Gw",11989,,Nutter, Gw, Gw Nutter,,,
45,"Nutter, Gw",12927,,Nutter, Gw, Gw Nutter,,,
46,"Friedman, M",11730,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
47,"Friedman, M",12652,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
48,"Friedman, M",12733,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
49,"Friedman, M",12944,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
50,"Friedman, M",15665,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
51,"Friedman, M",16918,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
52,"Friedman, M",17517,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
53,"Friedman, M",17620,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
54,"Friedman, M",19136,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
55,"Friedman, M",22518,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
56,"Friedman, M",24391,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
57,"Friedman, M",24556,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
58,"Friedman, M",25154,,Friedman, M, M Friedman,M Friedman,Milton Friedman,Male
