,combined
0,TI: On the State of Development Economics
1,"AU: Adelman, Irma"
2,AF: Unlisted
3,"SO: Journal of Development Economics, 1(1), June 1974, pp. 3-5"
4,IS: 0304-3878
5,AV: http://www.sciencedirect.com/science/journal/03043878
6,DT: Journal Article
7,PY: 1974
8,DE: Economic Development Models and Theories 1120
9,LA: English
10,UD: 199006
11,AN: 0076235
12,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
13,TI: Notes on the Economic Theory of Expulsion and Expropriation
14,"AU: Tobin, James"
15,AF: Unlisted
16,"SO: Journal of Development Economics, 1(1), June 1974, pp. 7-18"
17,IS: 0304-3878
18,AV: http://www.sciencedirect.com/science/journal/03043878
19,DT: Journal Article
20,PY: 1974
21,DE: Economic Development Models and Theories 1120
22,LA: English
23,UD: 199006
24,AN: 0076236
25,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
26,"TI: The Brain Drain, International Integration of Markets for Professionals and Unemployment: A Theoretical Analysis"
27,"AU: Bhagwati, Jagdish N., Hamada, Koichi"
28,"AF: Unlisted, Unlisted"
29,"SO: Journal of Development Economics, 1(1), June 1974, pp. 19-42"
30,IS: 0304-3878
31,AV: http://www.sciencedirect.com/science/journal/03043878
32,DT: Journal Article
33,PY: 1974
34,"DE: Economic Development Models and Theories 1120Labor Mobility, National and International Migration 8230"
35,LA: English
36,UD: 199006
37,AN: 0076237
38,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
39,TI: Multi-Sector Models for Development Planning: A Survey
40,"AU: Manne, Alan S."
41,AF: Unlisted
42,"SO: Journal of Development Economics, 1(1), June 1974, pp. 43-69"
43,IS: 0304-3878
44,AV: http://www.sciencedirect.com/science/journal/03043878
45,DT: Journal Article
46,PY: 1974
47,DE: Economic Planning Theory 1132
48,LA: English
49,UD: 199006
50,AN: 0076238
51,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
52,"TI: On Appropriate Technology, Saving and Employment"
53,"AU: Encarnacion, J."
54,AF: Unlisted
55,"SO: Journal of Development Economics, 1(1), June 1974, pp. 71-79"
56,IS: 0304-3878
57,AV: http://www.sciencedirect.com/science/journal/03043878
58,DT: Journal Article
59,PY: 1974
60,DE: One and Two Sector Growth Models and Related Topics 1112
61,LA: English
62,UD: 199006
63,AN: 0076239
64,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
65,TI: Short-Term Policy in Open Semi-Industrialized Economies: The Narrow Limits of the Possible
66,"AU: Taylor, Lance"
67,AF: Unlisted
68,"SO: Journal of Development Economics, 1(2), September 1974, pp. 85-104"
69,IS: 0304-3878
70,AV: http://www.sciencedirect.com/science/journal/03043878
71,DT: Journal Article
72,PY: 1974
73,DE: Open Economy Macroeconomic Theory--Balance of Payments and Adjustment Mechanisms 4312
74,GD: Chile
75,GR: Latin America and the Caribbean
76,LA: English
77,UD: 199006
78,AN: 0076240
79,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
80,TI: On Modeling the Agricultural Sector in Developing Economies: An Integrated Approach of Micro and Macroeconomics
81,"AU: Yotopoulos, Pan A., Lau, Lawrence J."
82,"AF: Unlisted, Unlisted"
83,"SO: Journal of Development Economics, 1(2), September 1974, pp. 105-27"
84,IS: 0304-3878
85,AV: http://www.sciencedirect.com/science/journal/03043878
86,DT: Journal Article
87,PY: 1974
88,DE: Forecasting and Econometric Models--Theory and Methodology 1324Agriculture--General 7100
89,LA: English
90,UD: 199006
91,AN: 0076241
92,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
93,TI: The Cost and Composition of Indian Exports
94,"AU: Staelin, Charles P."
95,AF: Unlisted
96,"SO: Journal of Development Economics, 1(2), September 1974, pp. 129-43"
97,IS: 0304-3878
98,AV: http://www.sciencedirect.com/science/journal/03043878
99,DT: Journal Article
100,PY: 1974
101,DE: Trade Relations 4210Commercial Policy 4220
102,GD: India
103,GR: Asia
104,LA: English
105,UD: 199006
106,AN: 0076242
107,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
108,"TI: Factor Substitution, Ex Ante and Ex Post"
109,"AU: Winston, Gordon C."
110,AF: Unlisted
111,"SO: Journal of Development Economics, 1(2), September 1974, pp. 145-63"
112,IS: 0304-3878
113,AV: http://www.sciencedirect.com/science/journal/03043878
114,DT: Journal Article
115,PY: 1974
116,DE: Economic Development Models and Theories 1120Microeconomics--Theory of Production 0223
117,LA: English
118,UD: 199006
119,AN: 0076243
120,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
121,"TI: Relative Prices, Income Distribution and Stabilization Plans: The Argentine Experience, 1967-1970"
122,"AU: Pablo, Juan Carlos"
123,AF: Unlisted
124,"SO: Journal of Development Economics, 1(3), December 1974, pp. 167-89"
125,IS: 0304-3878
126,AV: http://www.sciencedirect.com/science/journal/03043878
127,DT: Journal Article
128,PY: 1974
129,DE: Inflation and Deflation--General 1340Stabilization Theories and Policies 1331
