,metadata,ArticleID,index,last name,first name
2,"Worswick, Gdn",11725,,Worswick, Gdn
33,"Stigler, Gj",11726,,Stigler, Gj
65,"Smith, Wl",11727,,Smith, Wl
66,"Mikesell, Rf",11727,,Mikesell, Rf
97,"Gorman, Wm",11728,,Gorman, Wm
128,"Nutter, Gw",11729,,Nutter, Gw
160,"Friedman, M",11730,,Friedman, M
161,"Becker, Gs",11730,,Becker, Gs
192,"Gehrels, F",11731,,Gehrels, F
223,"Leibenstein, H",11732,,Leibenstein, H
254,"Smith, Rs",11733,,Smith, Rs
287,"Hammett, Rs",11734,,Hammett, Rs
288,"Seidman, J",11734,,Seidman, J
289,"London, J",11734,,London, J
320,"Downs, A",11735,,Downs, A
352,"Adelman, Ma",11736,,Adelman, Ma
383,"Maher, Je",11737,,Maher, Je
414,"Kennedy, J",11738,,Kennedy, J
445,"Darling, Pg",11739,,Darling, Pg
476,"Margolis, J",11740,,Margolis, J
507,"Hilton, Gw",11741,,Hilton, Gw
538,"Hansen, Wl",11742,,Hansen, Wl
569,"Bailey, Mj",11743,,Bailey, Mj
600,"Johnson, Ll",11744,,Johnson, Ll
632,"Mccaffree, Km",11745,,Mccaffree, Km
663,"Worcester, Da",11746,,Worcester, Da
694,"Fleming, Jm",11747,,Fleming, Jm
725,"Ward, B",11748,,Ward, B
756,"Nelson, Rr",11749,,Nelson, Rr
787,"Rose, Am",11750,,Rose, Am
818,"Trued, Mn",11751,,Trued, Mn
849,"Peterson, Jm",11752,,Peterson, Jm
880,"Sohmen, E",11753,,Sohmen, E
911,"Lerner, Ap",11754,,Lerner, Ap
942,"Rothschild, Kw",11755,,Rothschild, Kw
973,"Bronfenbrenner, M",11756,,Bronfenbrenner, M
1004,"Rothschild, Kw",11757,,Rothschild, Kw
1035,"Tolley, Gs",11758,,Tolley, Gs
1066,"Montias, Jm",11759,,Montias, Jm
1097,"Harberger, Ac",11760,,Harberger, Ac
1128,"Hoag, Mw",11761,,Hoag, Mw
1160,"Kaplan, Nm",11762,,Kaplan, Nm
1161,"Wainstein, Es",11762,,Wainstein, Es
1192,"Taylor, Oh",11763,,Taylor, Oh
1223,"Enke, S",11764,,Enke, S
1254,"Smith, Wl",11765,,Smith, Wl
1285,"Eckstein, O",11766,,Eckstein, O
1317,"Bator, Fm",11767,,Bator, Fm
1348,"Mason, We",11768,,Mason, We
1379,"Wellisz, Sh",11769,,Wellisz, Sh
1411,"Hines, Hh",11770,,Hines, Hh
1442,"Akerman, G",11771,,Akerman, G
1473,"Moes, J",11772,,Moes, J
1504,"Minsky, Hp",11773,,Minsky, Hp
1535,"Nurkse, R",11774,,Nurkse, R
1566,"Granick, D",11775,,Granick, D
1598,"Lampman, Rj",11776,,Lampman, Rj
1629,"Liebhafsky, Hh",11777,,Liebhafsky, Hh
1660,"Nicholls, Wh",11778,,Nicholls, Wh
1692,"Lichtenstein, W",11779,,Lichtenstein, W
1724,"Kenen, Pb",11780,,Kenen, Pb
1725,"Fisher, Fm",11780,,Fisher, Fm
1756,"Higonnet, Rp",11781,,Higonnet, Rp
1787,"Holzman, Fd",11782,,Holzman, Fd
1819,"Brown, Wh",11783,,Brown, Wh
1850,"Kenen, Pb",11784,,Kenen, Pb
1882,"Margolis, J",11785,,Margolis, J
1914,"Schumann, J",11786,,Schumann, J
1915,"Todt, H",11786,,Todt, H
1948,"Villard, Hh",11787,,Villard, Hh
1979,"Culbertson, Jm",11788,,Culbertson, Jm
2010,"Stolper, Wf",11789,,Stolper, Wf
2041,"Brown, Ehp",11790,,Brown, Ehp
2072,"Sen, Ak",11791,,Sen, Ak
2103,"Steiner, Po",11792,,Steiner, Po
2134,"Shoul, B",11793,,Shoul, B
2165,"Ozga, Sa",11794,,Ozga, Sa
2196,"Neisser, H",11795,,Neisser, H
2229,"Peacock, At",11796,,Peacock, At
2230,"Dosser, D",11796,,Dosser, D
2262,"Marris, Rl",11797,,Marris, Rl
2294,"Scott, Io",11798,,Scott, Io
2326,"Brown, Ec",11799,,Brown, Ec
2358,"Shoup, Cs",11800,,Shoup, Cs
2390,"Kennedy, C",11801,,Kennedy, C
2422,"Morishima, M",11802,,Morishima, M
2454,"Ozga, Sa",11803,,Ozga, Sa
2486,"Tobin, J",11804,,Tobin, J
2517,"Cramer, Js",11805,,Cramer, Js
2548,"Mcmanus, M",11806,,Mcmanus, M
2579,"Johansen, L",11807,,Johansen, L
2611,"Theil, Hh",11808,,Theil, Hh
2612,"Neudecker, H",11808,,Neudecker, H
2644,"Rose, H",11809,,Rose, H
2675,"Matuszewski, Ti",11810,,Matuszewski, Ti
2706,"Davies, Jh",11811,,Davies, Jh
2737,"Gorman, Wm",11812,,Gorman, Wm
2768,"Osborn, E",11813,,Osborn, E
2799,"Armstrong, We",11814,,Armstrong, We
2830,"Stein, Jl",11815,,Stein, Jl
2861,"Ott, Ae",11816,,Ott, Ae
2893,"Newman, Pk",11817,,Newman, Pk
2894,"Read, Rc",11817,,Read, Rc
2925,"Bhagwati, J",11818,,Bhagwati, J
2956,"Kaldor, N",11819,,Kaldor, N
2987,"Cramer, Js",11820,,Cramer, Js
3019,"Nettl, Jp",11821,,Nettl, Jp
3052,"Black, J",11822,,Black, J
3053,"Dejasay, Ae",11822,,Dejasay, Ae
3085,"Rose, H",11823,,Rose, H
3117,"Dickinson, Hd",11824,,Dickinson, Hd
3148,"Brems, H",11825,,Brems, H
3181,"Pitchford, Jd",11826,,Pitchford, Jd
3213,"Seton, F",11827,,Seton, F
3245,"Spraos, J",11828,,Spraos, J
3278,"Gilbert, Jc",11829,,Gilbert, Jc
3310,"Mckenzie, L",11830,,Mckenzie, L
3342,"Brechling, Fpr",11831,,Brechling, Fpr
3374,"Kemp, Mc",11832,,Kemp, Mc
3406,"Morishima, M",11833,,Morishima, M
3438,"Hagger, A",11834,,Hagger, A
3470,"Lipsey, Rg",11835,,Lipsey, Rg
3502,"Bergstrom, Ar",11836,,Bergstrom, Ar
3534,"Black, Jd",11837,,Black, Jd
3564,"Hoover, Cb",11838,,Hoover, Cb
3596,"Abramovitz, M",11839,,Abramovitz, M
