,metadata,last name,first name
0,"Worswick, Gdn",Worswick, Gdn
1,"Stigler, Gj",Stigler, Gj
2,"Smith, Wl",Smith, Wl
3,"Mikesell, Rf",Mikesell, Rf
4,"Gorman, Wm",Gorman, Wm
5,"Nutter, Gw",Nutter, Gw
6,"Friedman, M",Friedman, M
7,"Becker, Gs",Becker, Gs
8,"Gehrels, F",Gehrels, F
9,"Leibenstein, H",Leibenstein, H
10,"Smith, Rs",Smith, Rs
11,"Hammett, Rs",Hammett, Rs
12,"Seidman, J",Seidman, J
13,"London, J",London, J
14,"Downs, A",Downs, A
15,"Adelman, Ma",Adelman, Ma
16,"Maher, Je",Maher, Je
17,"Kennedy, J",Kennedy, J
18,"Darling, Pg",Darling, Pg
19,"Margolis, J",Margolis, J
20,"Hilton, Gw",Hilton, Gw
21,"Hansen, Wl",Hansen, Wl
22,"Bailey, Mj",Bailey, Mj
23,"Johnson, Ll",Johnson, Ll
24,"Mccaffree, Km",Mccaffree, Km
25,"Worcester, Da",Worcester, Da
26,"Fleming, Jm",Fleming, Jm
27,"Ward, B",Ward, B
28,"Nelson, Rr",Nelson, Rr
29,"Rose, Am",Rose, Am
30,"Trued, Mn",Trued, Mn
31,"Peterson, Jm",Peterson, Jm
32,"Sohmen, E",Sohmen, E
33,"Lerner, Ap",Lerner, Ap
34,"Rothschild, Kw",Rothschild, Kw
35,"Bronfenbrenner, M",Bronfenbrenner, M
37,"Tolley, Gs",Tolley, Gs
38,"Montias, Jm",Montias, Jm
39,"Harberger, Ac",Harberger, Ac
40,"Hoag, Mw",Hoag, Mw
41,"Kaplan, Nm",Kaplan, Nm
42,"Wainstein, Es",Wainstein, Es
43,"Taylor, Oh",Taylor, Oh
44,"Enke, S",Enke, S
46,"Eckstein, O",Eckstein, O
47,"Bator, Fm",Bator, Fm
48,"Mason, We",Mason, We
49,"Wellisz, Sh",Wellisz, Sh
50,"Hines, Hh",Hines, Hh
51,"Akerman, G",Akerman, G
52,"Moes, J",Moes, J
53,"Minsky, Hp",Minsky, Hp
54,"Nurkse, R",Nurkse, R
55,"Granick, D",Granick, D
56,"Lampman, Rj",Lampman, Rj
57,"Liebhafsky, Hh",Liebhafsky, Hh
58,"Nicholls, Wh",Nicholls, Wh
59,"Lichtenstein, W",Lichtenstein, W
60,"Kenen, Pb",Kenen, Pb
61,"Fisher, Fm",Fisher, Fm
62,"Higonnet, Rp",Higonnet, Rp
63,"Holzman, Fd",Holzman, Fd
64,"Brown, Wh",Brown, Wh
67,"Schumann, J",Schumann, J
68,"Todt, H",Todt, H
69,"Villard, Hh",Villard, Hh
70,"Culbertson, Jm",Culbertson, Jm
71,"Stolper, Wf",Stolper, Wf
72,"Brown, Ehp",Brown, Ehp
73,"Sen, Ak",Sen, Ak
74,"Steiner, Po",Steiner, Po
75,"Shoul, B",Shoul, B
76,"Ozga, Sa",Ozga, Sa
77,"Neisser, H",Neisser, H
78,"Peacock, At",Peacock, At
79,"Dosser, D",Dosser, D
80,"Marris, Rl",Marris, Rl
81,"Scott, Io",Scott, Io
82,"Brown, Ec",Brown, Ec
83,"Shoup, Cs",Shoup, Cs
84,"Kennedy, C",Kennedy, C
85,"Morishima, M",Morishima, M
87,"Tobin, J",Tobin, J
88,"Cramer, Js",Cramer, Js
89,"Mcmanus, M",Mcmanus, M
90,"Johansen, L",Johansen, L
91,"Theil, Hh",Theil, Hh
92,"Neudecker, H",Neudecker, H
93,"Rose, H",Rose, H
94,"Matuszewski, Ti",Matuszewski, Ti
95,"Davies, Jh",Davies, Jh
97,"Osborn, E",Osborn, E
98,"Armstrong, We",Armstrong, We
99,"Stein, Jl",Stein, Jl
100,"Ott, Ae",Ott, Ae
101,"Newman, Pk",Newman, Pk
102,"Read, Rc",Read, Rc
103,"Bhagwati, J",Bhagwati, J
104,"Kaldor, N",Kaldor, N
106,"Nettl, Jp",Nettl, Jp
107,"Black, J",Black, J
108,"Dejasay, Ae",Dejasay, Ae
110,"Dickinson, Hd",Dickinson, Hd
111,"Brems, H",Brems, H
112,"Pitchford, Jd",Pitchford, Jd
113,"Seton, F",Seton, F
114,"Spraos, J",Spraos, J
115,"Gilbert, Jc",Gilbert, Jc
116,"Mckenzie, L",Mckenzie, L
117,"Brechling, Fpr",Brechling, Fpr
118,"Kemp, Mc",Kemp, Mc
120,"Hagger, A",Hagger, A
121,"Lipsey, Rg",Lipsey, Rg
122,"Bergstrom, Ar",Bergstrom, Ar
123,"Black, Jd",Black, Jd
124,"Hoover, Cb",Hoover, Cb
125,"Abramovitz, M",Abramovitz, M
126,"Homan, Pt",Homan, Pt
127,"Evans, Wd",Evans, Wd
128,"Earley, Js",Earley, Js
