,index,ArticleID,Journal,Title,PubDate
0,0,1,ECA,Efficient Intra-Household Allocations: A General Characterization and Empirical Tests,1998-11-01
1,1,2,ECA,The Noah's Ark Problem,1998-11-01
2,2,3,ECA,New Tools for Understanding Spurious Regressions,1998-11-01
3,3,4,ECA,Bootstrap Methods for Median Regression Models,1998-11-01
4,4,5,ECA,Efficiency and Voluntary Implementation in Markets with Repeated Pairwise Bargaining,1998-11-01
5,5,6,ECA,Inference on Structural Parameters in Instrumental Variables Regression with Weak Instruments,1998-11-01
6,6,7,ECA,Characterizing Selection Bias Using Experimental Data,1998-09-01
7,7,8,ECA,Short Run and Long Run Causality in Time Series: Theory,1998-09-01
8,8,9,ECA,Autoregressive Conditional Duration: A New Model for Irregularly Spaced Transaction Data,1998-09-01
9,9,10,ECA,Inference-Without-Smoothing in the Presence of Nonparametric Autocorrelation,1998-09-01
10,10,11,ECA,An Empirical Equilibrium Search Model of the Labor Market,1998-09-01
11,11,12,ECA,Expectations Formation and Stability of Large Socioeconomic Systems,1998-07-01
12,12,13,ECA,"Ironing, Sweeping, and Multidimensional Screening",1998-07-01
13,13,14,ECA,Estimating Labor Supply Responses Using Tax Reforms,1998-07-01
14,14,15,ECA,The Method of Simulated Scores for the Estimation of LDV Models,1998-07-01
15,15,16,ECA,Is Perfect Price Discrimination Really Efficient?: Welfare and Existence in General Equilibrium,1998-07-01
16,16,17,ECA,The Probability Weighting Function,1998-05-01
17,17,18,ECA,High Breakdown Point Conditional Dispersion Estimation with Application to S&P 500 Daily Returns Volatility,1998-05-01
18,18,19,ECA,Learning in High Stakes Ultimatum Games: An Experiment in the Slovak Republic,1998-05-01
19,19,20,ECA,Communication in Repeated Games with Imperfect Private Monitoring,1998-05-01
20,20,21,ECA,"Private Observation, Communication and Collusion",1998-05-01
21,21,22,ECA,An Alternative Estimator for the Censored Quantile Regression Model,1998-05-01
22,22,23,ECA,Instrumental Models and Indirect Encompassing,1998-05-01
23,23,24,ECA,Estimating the Labor Market Impact of Voluntary Military Service Using Social Security Data on Military Applicants,1998-03-01
24,24,25,ECA,Sieve Extremum Estimates for Weakly Dependent Data,1998-03-01
25,25,26,ECA,On the Role of the Propensity Score in Efficient Semiparametric Estimation of Average Treatment Effects,1998-03-01
26,26,27,ECA,Information Theoretic Approaches to Inference in Moment Condition Models,1998-03-01
