,Name,Decade
"Adelman, I",6,1960s
"Brainard, Wc",3,1960s
"Nelson, Jr",2,1960s
"Browne, Mh",2,1960s
"Flanders, Mj",2,1960s
"Anderson, Ps",2,1960s
"Nelson, Jc",1,1960s
"Ott, Af",1,1960s
"Sinha, Rp",1,1960s
"Johnson, E",1,1960s
"Propper, C",11,1990s
"Hersch, J",5,1990s
"Dinwiddy, C",5,1990s
"Currie, J",5,1990s
"Case, A",4,1990s
"Mitchell, Os",3,1990s
"Griffith, R",3,1990s
"Paxson, Ch",3,1990s
"Costa, Dl",3,1990s
"Sheiner, L",3,1990s
"Lucas, Deborah J.",377,2000s
"Morton, Rebecca B.",264,2000s
"Shah, Manisha",183,2000s
"Quintini, G",6,2000s
"Botticini, M",4,2000s
"Case, A",4,2000s
"Blank, Rm",4,2000s
"Propper, C",4,2000s
"Bertrand, M",4,2000s
"Todd, Pe",4,2000s
"Finkelstein, Amy",9,2010s
"Williams, Heidi",5,2010s
"Jayachandran, Seema",5,2010s
"Propper, Carol",5,2010s
"Hanna, Rema",5,2010s
"Bandiera, Oriana",4,2010s
"Duflo, Esther",4,2010s
"Reinhart, Carmen M.",4,2010s
"Nakamura, Emi",4,2010s
"Stantcheva, Stefanie",4,2010s
"Gunn, Grace T.",3,Fourties
"Burns, Eveline M.",3,Fourties
"Blakey, Gladys C.",2,Fourties
"Brown, Emily Clark",2,Fourties
"Beckett, Grace",2,Fourties
"Weaver, Robert C.",2,Fourties
"Iyengar, S. Kesava",2,Fourties
"Bray, John F. L.",1,Fourties
"Lovasy, Gertrud",1,Fourties
"Schwartz, Anna Jacobson",1,Fourties
"Grossbardshechtman, A",92,1980s
"Mccrate, E",27,1980s
"Morrison, Cj",13,1980s
"Grosskopf, S",6,1980s
"Yellen, Jl",5,1980s
"Rivlin, Am",3,1980s
"Reinganum, Jf",2,1980s
"Allen, B",2,1980s
"Bailey, Ee",2,1980s
"Beller, Ah",2,1980s
"Schwartz, Nl",4,1970s
"Adelman, I",4,1970s
"Bergmann, Br",3,1970s
"Leibowitz, A",3,1970s
"Friedlaender, Af",2,1970s
"Desai, P",2,1970s
"Bailey, Ee",2,1970s
"Yellen, Jl",2,1970s
"Rivlin, Am",2,1970s
"Amsden, Ah",2,1970s
"Power, Jh",2,1950s
"Wright, Helen",2,1950s
"Penrose, Et",2,1950s
"Nelson, James C.",2,1950s
"Comstock, Alzeda",1,1950s
"Schroeder, Gertrude",1,1950s
"Makower, H.",1,1950s
"Hewes, Amy",1,1950s
"Houghton, R",1,1950s
"Adams, Aa",1,1950s
