,metadata,Clean Name,Possible Match,Possible Sex
0,"Worswick, Gdn", Gdn Worswick,,
1,"Stigler, Gj", Gj Stigler,George J. Stigler,Male
2,"Smith, Wl", Wl Smith,,
3,"Mikesell, Rf", Rf Mikesell,,
4,"Gorman, Wm", Wm Gorman,William Moore Gorman,Male
5,"Nutter, Gw", Gw Nutter,,
6,"Friedman, M", M Friedman,Milton Friedman,Male
7,"Becker, Gs", Gs Becker,Gary S. Becker,Male
8,"Gehrels, F", F Gehrels,,
9,"Leibenstein, H", H Leibenstein,,
10,"Smith, Rs", Rs Smith,,
11,"Hammett, Rs", Rs Hammett,,
12,"Seidman, J", J Seidman,Laurence S. Seidman,Male
13,"London, J", J London,,
14,"Downs, A", A Downs,Anthony Downs,Male
15,"Adelman, Ma", Ma Adelman,,
16,"Maher, Je", Je Maher,,
17,"Kennedy, J", J Kennedy,Peter E. Kennedy,Male
18,"Darling, Pg", Pg Darling,,
19,"Margolis, J", J Margolis,David N. Margolis,Male
20,"Hilton, Gw", Gw Hilton,,
21,"Hansen, Wl", Wl Hansen,W. Lee Hansen,Male
22,"Bailey, Mj", Mj Bailey,,
23,"Johnson, Ll", Ll Johnson,Lewis Johnson,Male
24,"Mccaffree, Km", Km Mccaffree,,
25,"Worcester, Da", Da Worcester,,
26,"Fleming, Jm", Jm Fleming,,
27,"Ward, B", B Ward,Michael P. Ward,Male
28,"Nelson, Rr", Rr Nelson,Richard R. Nelson,Male
29,"Rose, Am", Am Rose,Andrew K. Rose,Male
30,"Trued, Mn", Mn Trued,,
31,"Peterson, Jm", Jm Peterson,,
32,"Sohmen, E", E Sohmen,,
33,"Lerner, Ap", Ap Lerner,,
34,"Rothschild, Kw", Kw Rothschild,,
35,"Bronfenbrenner, M", M Bronfenbrenner,Martin Bronfenbrenner,Male
36,"Tolley, Gs", Gs Tolley,,
37,"Montias, Jm", Jm Montias,Arnold C. Harberger,Male
38,"Harberger, Ac", Ac Harberger,,
39,"Hoag, Mw", Mw Hoag,,
40,"Kaplan, Nm", Nm Kaplan,,
41,"Wainstein, Es", Es Wainstein,,
42,"Taylor, Oh", Oh Taylor,Stephen Enke,Male
43,"Enke, S", S Enke,Otto Eckstein,Male
44,"Eckstein, O", O Eckstein,William M. Mason,Male
45,"Bator, Fm", Fm Bator,Stanislaw Wellisz,Male
46,"Mason, We", We Mason,,
47,"Wellisz, Sh", Sh Wellisz,Anders Akerman,Male
48,"Hines, Hh", Hh Hines,,
49,"Akerman, G", G Akerman,,
50,"Moes, J", J Moes,,
51,"Minsky, Hp", Hp Minsky,,
52,"Nurkse, R", R Nurkse,,
53,"Granick, D", D Granick,,
54,"Lampman, Rj", Rj Lampman,D. F. Nicholls,Male
55,"Liebhafsky, Hh", Hh Liebhafsky,Paul Lichtenstein,Male
56,"Nicholls, Wh", Wh Nicholls,,
