"Golladay, F",F Golladay, Fredrick Golladay,Male
"Borel, Emile",Emile Borel,?mile Borel,Male
"Sampson, Aa",Aa Sampson,A. A. Sampson,Male
"Schmid, A. Allan",A. Allan Schmid,A. Allan Schmid,Male
"John, A",A John,A. Andrew John,Male
"Belloni, A.",A. Belloni,A. Belloni,Male
"Meigs, Aj",Aj Meigs,A. James Meigs,Male
"Bovenberg, Al",Al Bovenberg,A. Lans Bovenberg,Male
"Taylor, Am",Am Taylor,A. M. Robert Taylor,Male
"Agapos, Am",Am Agapos,A. Michael Agapos,Male
"Polinsky, A",A Polinsky,A. Mitchell Polinsky,Male
"Polinsky, Am",Am Polinsky,A. Mitchell Polinsky,Male
"Mobarak, A. Mushfiq",A. Mushfiq Mobarak,A. Mushfiq Mobarak,Male
"Pagan, Ar",Ar Pagan,A. R. Pagan,Male
"Nobay, Ar",Ar Nobay,A. Robert Nobay,Male
"Dobell, Ar",Ar Dobell,A. Rodney Dobell,Male
"Gallant, Ar",Ar Gallant,A. Ronald Gallant,Male
"Denzau, At",At Denzau,A. T. Denzau,Male
"King, At",At King,A. Thomas King,Male
"Mattoo, Aaditya",Aaditya Mattoo,Aaditya Mattoo,Male
"Mohpal, Aakash",Aakash Mohpal,Aakash Mohpal,Male
"Chalfin, Aaron",Aaron Chalfin,Aaron Chalfin,Male
"Director, Aaron",Aaron Director,Aaron Director,Male
"Hedlund, Aaron",Aaron Hedlund,Aaron Hedlund,Male
"Edlin, As",As Edlin,Aaron S. Edlin,Male
"Sojourner, Aaron",Aaron Sojourner,Aaron Sojourner,Male
"Swoboda, Aaron",Aaron Swoboda,Aaron Swoboda,Male
"Tornell, A",A Tornell,Aarón Tornell,Male
"Kraay, A",A Kraay,Aart Kraay,Male
"Lerner, Abba P.",Abba P. Lerner,Abba P. Lerner,Male
"El Lahga, Abdel-Rahmen",Abdel-Rahmen El Lahga,Abdel-Rahmen El Lahga,Male
"Rouabah, Abdelaziz",Abdelaziz Rouabah,Abdelaziz Rouabah,Male
"Sadrieh, Abdolkarim",Abdolkarim Sadrieh,Abdolkarim Sadrieh,Male
"Qayum, A",A Qayum,Abdul Qayum,Male
"Shifa, Abdulaziz B.",Abdulaziz B. Shifa,Abdulaziz B. Shifa,Male
"Shimeles, Abebe",Abebe Shimeles,Abebe Shimeles,Male
"Gelan, Abera",Abera Gelan,Abera Gelan,Male
"Abhyankar, A",A Abhyankar,"Abhay Abhyankar

",Male
"Singh, Abhijeet",Abhijeet Singh,Abhijeet Singh,Male
"Banerjee, A",A Banerjee,Abhijit Banerjee,Male
"Banerjee, Abhijit",Abhijit Banerjee,Abhijit Banerjee,Male
"Banerjee, Abhijit V.",Abhijit V. Banerjee,Abhijit Banerjee,Male
"Banerjee, Abhijit, V",Abhijit Banerjee,Abhijit V. Banerjee,Male
"Banerjee, Abhijit, V",Abhijit Banerjee,Abhijit V. Banerjee,Male
"Banerjee, Av",Av Banerjee,Abhijit Vinayak Banerjee,Male
"Narayanan, Abhinav",Abhinav Narayanan,Abhinav Narayanan,Male
"Muthoo, A",A Muthoo,Abhinay Muthoo,Male
"Muthoo, Abhinay",Abhinay Muthoo,Abhinay Muthoo,Male
"Mukhopadhyay, Abhiroop",Abhiroop Mukhopadhyay,Abhiroop Mukhopadhyay,Male
"Adams, Aa",Aa Adams,Abi Adams,Female
"Adams, Abi",Abi Adams,Abi Adams,Female
"Charnes, A",A Charnes,Abraham Charnes,Male
"Charnes, A.",A. Charnes,Abraham Charnes,Male
"Neyman, A",A Neyman,Abraham Neyman,Male
"Lerner, Ap",Ap Lerner,Abraham P Lerner,Male
"Robinson, A",A Robinson,Abraham Robinson,Male
"Robinson, Austin",Austin Robinson,Abraham Robinson,Male
"Wald, Abraham",Abraham Wald,Abraham Wald,Male
"Bergson, A",A Bergson,Abram Bergson,Male
"Bergson, Abram",Abram Bergson,Abram Bergson,Male
