,metadata,Journal,PubDate,Title,clean name,confirmed name,Sex,last name,first name
0,"Smith, Wl",JPE,1957,THE EFFECTIVENESS OF MONETARY-POLICY RECENT BRITISH-EXPERIENCE, Wl Smith,,,Smith, Wl
1,"Mikesell, Rf",JPE,1957,THE EFFECTIVENESS OF MONETARY-POLICY RECENT BRITISH-EXPERIENCE, Rf Mikesell,,,Mikesell, Rf
2,"Gorman, Wm",JPE,1957,CONVEX INDIFFERENCE CURVES AND DIMINISHING MARGINAL UTILITY, Wm Gorman,,,Gorman, Wm
3,"Nutter, Gw",JPE,1957,ON MEASURING ECONOMIC-GROWTH, Gw Nutter,?,?,Nutter, Gw
4,"Friedman, M",JPE,1957,A STATISTICAL ILLUSION IN JUDGING KEYNESIAN MODELS, M Friedman,,,Friedman, M
5,"Smith, Rs",JPE,1957,"THE WEALTH OF NATIONS IN SPAIN AND HISPANIC AMERICA, 1780-1830", Rs Smith,,,Smith, Rs
6,"Hammett, Rs",JPE,1957,THE SLOWDOWN AS A UNION TACTIC, Rs Hammett,,,Hammett, Rs
7,"Seidman, J",JPE,1957,THE SLOWDOWN AS A UNION TACTIC, J Seidman,,,Seidman, J
8,"London, J",JPE,1957,THE SLOWDOWN AS A UNION TACTIC, J London,,,London, J
9,"Adelman, Ma",JPE,1957,THE CORPORATE-INCOME TAX IN THE LONG RUN, Ma Adelman,,,Adelman, Ma
10,"Maher, Je",JPE,1957,FORECASTING INDUSTRIAL-PRODUCTION, Je Maher,,,Maher, Je
11,"Kennedy, J",JPE,1957,STRUCTURE AND POLICY IN POSTAL RATES, J Kennedy,,,Kennedy, J
12,"Darling, Pg",JPE,1957,THE INFLUENCE OF EXPECTATIONS AND LIQUIDITY ON DIVIDEND POLICY, Pg Darling,,,Darling, Pg
13,"Margolis, J",JPE,1957,MUNICIPAL FISCAL STRUCTURE IN A METROPOLITAN REGION, J Margolis,,,Margolis, J
14,"Hilton, Gw",JPE,1957,THE BRITISH TRUCK SYSTEM IN THE 19TH-CENTURY, Gw Hilton,?,?,Hilton, Gw
15,"Hansen, Wl",JPE,1957,A NOTE ON THE COST OF CHILDRENS MORTALITY, Wl Hansen,,,Hansen, Wl
16,"Bailey, Mj",JPE,1957,SAVING AND THE RATE OF INTEREST, Mj Bailey,,,Bailey, Mj
17,"Johnson, Ll",JPE,1957,"PRICE INSTABILITY, HEDGING, AND TRADE VOLUME IN THE COFFEE FUTURES", Ll Johnson,,,Johnson, Ll
18,"Mccaffree, Km",JPE,1957,COLLECTIVE-BARGAINING IN ATOMIC-ENERGY CONSTRUCTION, Km Mccaffree,,,Mccaffree, Km
19,"Worcester, Da",JPE,1957,WHY DOMINANT FIRMS DECLINE, Da Worcester,Daniel Levinthal,Daniel Levinthal,Worcester, Da
20,"Fleming, Jm",JPE,1957,CARDINAL WELFARE AND INDIVIDUALISTIC ETHICS - A COMMENT, Jm Fleming,,,Fleming, Jm
21,"Ward, B",JPE,1957,WORKERS MANAGEMENT IN YUGOSLAVIA, B Ward,?,?,Ward, B
22,"Nelson, Rr",JPE,1957,INCREASED RENTS FROM INCREASED COSTS A PARADOX OF VALUE THEORY, Rr Nelson,,,Nelson, Rr
23,"Trued, Mn",JPE,1957,"INTEREST ARBITRAGE, EXCHANGE-RATES, AND DOLLAR RESERVES", Mn Trued,,,Trued, Mn
24,"Peterson, Jm",JPE,1957,"EMPLOYMENT EFFECTS OF MINIMUM-WAGES, 1938-50", Jm Peterson,,,Peterson, Jm
25,"Rothschild, Kw",JPE,1957,AGGREGATIVE WAGE THEORY AND MONEY ILLUSION, Kw Rothschild,,,Rothschild, Kw
26,"Bronfenbrenner, M",JPE,1957,AGGREGATIVE WAGE THEORY AND MONEY ILLUSION - REPLY, M Bronfenbrenner,,,Bronfenbrenner, M
27,"Montias, Jm",JPE,1957,PRICE-SETTING PROBLEMS IN THE POLISH ECONOMY, Jm Montias,,,Montias, Jm
28,"Hoag, Mw",JPE,1957,ECONOMIC-PROBLEMS OF ALLIANCE, Mw Hoag,,,Hoag, Mw
29,"Kaplan, Nm",JPE,1957,A NOTE ON RUBLE-DOLLAR COMPARISONS, Nm Kaplan,,,Kaplan, Nm
30,"Wainstein, Es",JPE,1957,A NOTE ON RUBLE-DOLLAR COMPARISONS, Es Wainstein,?,?,Wainstein, Es
31,"Taylor, Oh",QJE,1957,ECONOMIC SCIENCE ONLY - OR POLITICAL-ECONOMY, Oh Taylor,,,Taylor, Oh
32,"Enke, S",QJE,1957,SPECULATIONS ON POPULATION-GROWTH AND ECONOMIC-DEVELOPMENT, S Enke,,,Enke, S
33,"Eckstein, O",QJE,1957,INVESTMENT CRITERIA FOR ECONOMIC-DEVELOPMENT AND THE THEORY OF, O Eckstein,,,Eckstein, O
34,"Mason, We",QJE,1957,RICARDOS TRANSFER-MECHANISM THEORY, We Mason,,,Mason, We
35,"Wellisz, Sh",QJE,1957,THE COEXISTENCE OF LARGE AND SMALL FIRMS - A STUDY OF THE ITALIAN, Sh Wellisz,,,Wellisz, Sh
36,"Hines, Hh",QJE,1957,EFFECTIVENESS OF ENTRY BY ALREADY ESTABLISHED FIRMS, Hh Hines,?,?,Hines, Hh
37,"Akerman, G",QJE,1957,THE COBWEB THEOREM - A RECONSIDERATION, G Akerman,?,?,Akerman, G
38,"Moes, J",QJE,1957,"INVESTMENT CRITERIA, PRODUCTIVITY AND ECONOMIC-DEVELOPMENT", J Moes,,,Moes, J
39,"Nurkse, R",QJE,1957,REFLECTIONS ON INDIAS DEVELOPMENT PLAN, R Nurkse,,,Nurkse, R
40,"Lampman, Rj",QJE,1957,RECENT THOUGHT ON EGALITARIANISM, Rj Lampman,,,Lampman, Rj
41,"Nicholls, Wh",QJE,1957,HUMAN-RESOURCES AND INDUSTRIAL-DEVELOPMENT IN THE UPPER EAST TENNESSEE, Wh Nicholls,,,Nicholls, Wh
42,"Lichtenstein, W",QJE,1957,BANKING SERVICE CHARGES, W Lichtenstein,,,Lichtenstein, W
43,"Kenen, Pb",QJE,1957,"INCOME-DISTRIBUTION, VALUE JUDGMENTS, AND WELFARE - A CORRECTION", Pb Kenen,,,Kenen, Pb
44,"Higonnet, Rp",QJE,1957,"BANK DEPOSITS IN THE UNITED-KINGDOM, 1870-1914", Rp Higonnet,,,Higonnet, Rp
45,"Holzman, Fd",QJE,1957,THE SOVIET URAL-KUZNETSK COMBINE - A STUDY IN INVESTMENT CRITERIA AND, Fd Holzman,?,?,Holzman, Fd
46,"Brown, Wh",QJE,1957,INNOVATION IN THE MACHINE-TOOL INDUSTRY, Wh Brown,,,Brown, Wh
47,"Schumann, J",QJE,1957,"CLASSICAL-THEORY, GRAHAMS THEORY, AND LINEAR-PROGRAMMING IN", J Schumann,,,Schumann, J
48,"Todt, H",QJE,1957,"CLASSICAL-THEORY, GRAHAMS THEORY, AND LINEAR-PROGRAMMING IN", H Todt,?,?,Todt, H
49,"Villard, Hh",QJE,1957,"INVESTMENT CRITERIA, PRODUCTIVITY, AND ECONOMIC-DEVELOPMENT - COMMENT", Hh Villard,?,?,Villard, Hh
50,"Culbertson, Jm",QJE,1957,THE TERM STRUCTURE OF INTEREST-RATES, Jm Culbertson,,,Culbertson, Jm
51,"Stolper, Wf",QJE,1957,THE LABOR-FORCE AND INDUSTRIAL DEVELOPEMENT IN SOVIET GERMANY, Wf Stolper,,,Stolper, Wf
52,"Brown, Ehp",QJE,1957,THE MEANING OF THE FITTED COBB-DOUGLAS FUNCTION, Ehp Brown,?,?,Brown, Ehp
53,"Steiner, Po",QJE,1957,PEAK LOADS AND EFFICIENT PRICING, Po Steiner,,,Steiner, Po
54,"Shoul, B",QJE,1957,"MARX,KARL AND SAYS LAW", B Shoul,?,?,Shoul, B
55,"Ozga, Sa",QJE,1957,TARIFFS AND THE BALANCE OF PAYMENTS, Sa Ozga,,,Ozga, Sa
56,"Dosser, D",RES,1957,INPUT-OUTPUT-ANALYSIS IN AN UNDERDEVELOPED COUNTRY - A CASE-STUDY, D Dosser,?,?,Dosser, D
57,"Marris, Rl",RES,1957,HICKS INDEX NUMBER THEOREM, Rl Marris,,,Marris, Rl
58,"Scott, Io",RES,1957,THE AVAILABILITY DOCTRINE - THEORETICAL UNDERPINNINGS, Io Scott,,,Scott, Io
59,"Brown, Ec",RES,1957,KALDOR ON TAXATION AND RISK BEARING, Ec Brown,?,?,Brown, Ec
60,"Kennedy, C",RES,1957,STAMP DUTIES AS A CAPITAL GAINS TAX - A REPLY, C Kennedy,?,?,Kennedy, C
61,"Morishima, M",RES,1957,KLEIN INTERPRETATION OF LEONTIEF SYSTEM - A REJOINDER, M Morishima,,,Morishima, M
62,"Tobin, J",RES,1957,LIQUIDITY PREFERENCE AS BEHAVIOR TOWARDS RISK, J Tobin,,,Tobin, J
63,"Cramer, Js",RES,1957,OWNERSHIP ELASTICITIES OF DURABLE CONSUMER-GOODS, Js Cramer,,,Cramer, Js
64,"Mcmanus, M",RES,1957,TRANSFORMATIONS IN ECONOMIC-THEORIES, M Mcmanus,,,Mcmanus, M
65,"Johansen, L",RES,1957,A NOTE ON THE THEORY OF INTERINDUSTRIAL WAGE DIFFERENTIALS, L Johansen,,,Johansen, L
66,"Rose, H",RES,1957,CONSISTENCY OF PREFERENCE - THE 2-COMMODITY CASE, H Rose,?,?,Rose, H
67,"Matuszewski, Ti",RES,1957,TRADERS BEHAVIOR - AN ALTERNATIVE EXPLANATION, Ti Matuszewski,,,Matuszewski, Ti
68,"Davies, Jh",RES,1957,ENTREPRENEURIAL BEHAVIOR AND MARKET ENVIRONMENT - A COMMENT ON NETTL, Jh Davies,,,Davies, Jh
69,"Osborn, E",RES,1957,THE WICKSELL EFFECT, E Osborn,?,?,Osborn, E
70,"Armstrong, We",RES,1957,UTILITY AND THE ORDINALIST FALLACY, We Armstrong,,,Armstrong, We
71,"Stein, Jl",RES,1957,THE PREDICTIVE ACCURACY OF THE MARGINAL PRODUCTIVITY THEORY OF WAGES, Jl Stein,,,Stein, Jl
72,"Ott, Ae",RES,1957,THE RELATION BETWEEN THE ACCELERATOR AND THE CAPITAL OUTPUT RATIO, Ae Ott,?,?,Ott, Ae
73,"Newman, Pk",RES,1957,DEMAND THEORY WITHOUT A UTILITY INDEX - A COMMENT, Pk Newman,,,Newman, Pk
74,"Read, Rc",RES,1957,DEMAND THEORY WITHOUT A UTILITY INDEX - A COMMENT, Rc Read,,,Read, Rc
75,"Bhagwati, J",RES,1957,IMMISERIZING GROWTH - A GEOMETRICAL NOTE, J Bhagwati,,,Bhagwati, J
76,"Kaldor, N",RES,1957,RISK BEARING AND INCOME TAXATION, N Kaldor,,,Kaldor, N
77,"Nettl, Jp",RES,1957,A NOTE ON ENTREPRENEURIAL BEHAVIOR, Jp Nettl,,,Nettl, Jp
78,"Black, J",RES,1957,SPECULATION AND THE RATE OF INTEREST, J Black,,,Black, J
79,"Dickinson, Hd",RES,1957,THE FALLING RATE OF PROFIT IN MARXIAN ECONOMICS, Hd Dickinson,?,?,Dickinson, Hd
80,"Pitchford, Jd",RES,1957,COST AND DEMAND ELEMENTS IN THE INFLATIONARY PROCESS, Jd Pitchford,,,Pitchford, Jd
81,"Spraos, J",RES,1957,"STABILITY IN A CLOSED ECONOMY AND IN THE FOREIGN-EXCHANGE MARKET, AND", J Spraos,,,Spraos, J
82,"Gilbert, Jc",RES,1957,THE COMPATIBILITY OF ANY BEHAVIOR OF THE PRICE-LEVEL WITH EQUILIBRIUM, Jc Gilbert,,,Gilbert, Jc
83,"Mckenzie, L",RES,1957,DEMAND THEORY WITHOUT A UTILITY INDEX, L Mckenzie,,,Mckenzie, L
84,"Kemp, Mc",RES,1957,INDEX NUMBERS AND DEMAND ANALYSIS, Mc Kemp,,,Kemp, Mc
85,"Hagger, A",RES,1957,MULTIPLIER THEORY AND FISCAL-POLICY, A Hagger,?,?,Hagger, A
86,"Lipsey, Rg",RES,1957,GEHRELS ON CUSTOMS UNIONS, Rg Lipsey,,,Lipsey, Rg
87,"Black, Jd",AER,1956,AGRICULTURE IN THE NATIONS ECONOMY, Jd Black,,,Black, Jd
88,"Abramovitz, M",AER,1956,RESOURCE AND OUTPUT TRENDS IN THE UNITED-STATES SINCE 1870, M Abramovitz,,,Abramovitz, M
89,"Homan, Pt",AER,1956,THE SOCIAL GOALS OF ECONOMIC-GROWTH IN THE UNITED-STATES, Pt Homan,,,Homan, Pt
90,"Evans, Wd",AER,1956,ECONOMIC-GROWTH .2. THE PRODUCTION AND CONSUMPTION ECONOMICS OF, Wd Evans,,,Evans, Wd
91,"Earley, Js",AER,1956,MARGINAL POLICIES OF EXCELLENTLY MANAGED COMPANIES, Js Earley,,,Earley, Js
92,"Mack, Rp",AER,1956,TRENDS IN AMERICAN CONSUMPTION AND THE ASPIRATION TO CONSUME, Rp Mack,,,Mack, Rp
93,"Wickens, Aj",AER,1956,CHANGING PRICES AND VALUES IN THE 1ST-HALF OF THE 20TH-CENTURY, Aj Wickens,?,?,Wickens, Aj
94,"Scitovsky, T",AER,1956,"ECONOMIES OF SCALE, COMPETITION, AND EUROPEAN-INTEGRATION", T Scitovsky,,,Scitovsky, T
95,"Salant, Wa",AER,1956,ECONOMIC-GROWTH .3. INCOME-DISTRIBUTION ASPECTS OF EXPANDING PRODUCTION, Wa Salant,,,Salant, Wa
96,"Eisner, R",AER,1956,"TECHNOLOGICAL-CHANGE, OBSOLESCENCE AND AGGREGATE DEMAND", R Eisner,,,Eisner, R
97,"Lintner, J",AER,1956,"DISTRIBUTION OF INCOMES OF CORPORATIONS AMONG DIVIDENDS, RETAINED", J Lintner,,,Lintner, J
98,"Gilboy, Ew",AER,1956,ECONOMIC-GROWTH .4. THE INCREASE-OF-CONSUMPTION PART OF ECONOMIC-GROWTH, Ew Gilboy,?,?,Gilboy, Ew
99,"Kessel, Ra",AER,1956,INFLATION-CAUSED WEALTH REDISTRIBUTION - A TEST OF A HYPOTHESIS, Ra Kessel,,,Kessel, Ra
100,"Duesenberry, J",AER,1956,INNOVATION AND GROWTH, J Duesenberry,,,Duesenberry, J
101,"Brownlee, Oh",AER,1956,ECONOMIC-GROWTH .8. HIGHWAY DEVELOPMENT AND FINANCING - HIGHWAY, Oh Brownlee,,,Brownlee, Oh
102,"Heller, Ww",AER,1956,ECONOMIC-GROWTH .8. HIGHWAY DEVELOPMENT AND FINANCING - HIGHWAY, Ww Heller,,,Heller, Ww
103,"Schelling, Tc",AER,1956,AN ESSAY ON BARGAINING, Tc Schelling,,,Schelling, Tc
104,"Rapkin, C",AER,1956,SOME EFFECTS OF ECONOMIC-GROWTH ON THE CHARACTER OF CITIES, C Rapkin,?,?,Rapkin, C
105,"Davis, K",AER,1956,THE POPULATION SPECTER - RAPIDLY DECLINING DEATH RATE IN DENSELY, K Davis,,,Davis, K
106,"Gordon, Ra",AER,1956,"POPULATION-GROWTH, HOUSING, AND THE CAPITAL COEFFICIENT", Ra Gordon,,,Gordon, Ra
107,"Kellogg, Ce",AER,1956,WORLD FOOD AND AGRICULTURAL POTENTIALITIES, Ce Kellogg,?,?,Kellogg, Ce
108,"Meyer, Fv",AER,1956,COMPLEMENTARITY AND THE LOWERING OF TARIFFS, Fv Meyer,?,?,Meyer, Fv
109,"Slesinger, Re",AER,1956,SOME COMMENTS ON NONAGRICULTURAL POSSIBILITIES FOR RAISING THE LEVELS OF, Re Slesinger,,,Slesinger, Re
110,"Spengler, Jj",AER,1956,"THE POPULATION PROBLEM - DIMENSIONS, POTENTIALITIES, LIMITATIONS", Jj Spengler,,,Spengler, Jj
111,"Cullen, De",AER,1956,"THE INTERINDUSTRY WAGE STRUCTURE, 1899-1950", De Cullen,?,?,Cullen, De
112,"Spulber, N",AER,1956,ECONOMIC THINKING AND ITS APPLICATION AND METHODOLOGY IN EASTERN-EUROPE, N Spulber,,,Spulber, N
113,"Morgan, Jn",AER,1956,GOLDSMITH STUDY OF SAVING IN THE UNITED-STATES - A REVIEW ARTICLE, Jn Morgan,,,Morgan, Jn
114,"Alton, Tp",AER,1956,POSTWAR CHANGES IN THE YUGOSLAV ECONOMIC-SYSTEM AND METHODS OF PLANNING, Tp Alton,,,Alton, Tp
115,"Millikan, M",AER,1956,ECONOMIC-THOUGHT AND ITS APPLICATION AND METHODOLOGY IN INDIA, M Millikan,,,Millikan, M
116,"Carlson, S",AER,1956,THE ECONOMIC POTENTIALS OF LATIN-AMERICA - LATIN-AMERICA - RECENT, S Carlson,,,Carlson, S
117,"Schultz, Tw",AER,1956,LATIN-AMERICAN ECONOMIC-POLICY LESSONS, Tw Schultz,,,Schultz, Tw
118,"Hance, Wa",AER,1956,THE ECONOMIC POTENTIALS OF AFRICA - ECONOMIC-DEVELOPMENT IN TROPICAL, Wa Hance,,,Hance, Wa
119,"Herskovits, Mj",AER,1956,AFRICAN ECONOMIC-DEVELOPMENT IN CROSS-CULTURAL-PERSPECTIVE, Mj Herskovits,,,Herskovits, Mj
120,"Mason, Es",AER,1956,REPORT OF THE ATTORNEY GENERALS COMMITTEE ON ANTITRUST POLICY - MARKET, Es Mason,?,?,Mason, Es
121,"Brewster, K",AER,1956,ENFORCEABLE COMPETITION - UNRULY REASON OR REASONABLE RULES, K Brewster,,,Brewster, K
