4517,"Abdulkadiroglu, A",A Abdulkadiroglu,Atila Abdulkadiroglu,Male,,
3752,"Abhyankar, A",A Abhyankar,"Abhay Abhyankar

",Male,,
1666,"Ades, A",A Ades,Alberto F. Ades,Male,,
11811,"Adsera, A",A Adsera,Alicia Adsera,Female,,
11840,"Aizcorbe, A",A Aizcorbe,Ana Aizcorbe,Female,,
11826,"Aizer, A",A Aizer,Anna Aizer,Female,,
3580,"Alesina, A",A Alesina,Alberto Alesina,Male,,
5951,"Amano, A",A Amano,?,?,,
4248,"Ando, A",A Ando,Albert Ando,Male,,
3079,"Antoniou, A",A Antoniou,Antonios Antoniou,male,,
1858,"Araujo, A",A Araujo,Aloisio Araujo,Male,,
10178,"Arnon, A",A Arnon,Arie Arnon,Male,,
3357,"Asimakopulos, A",A Asimakopulos,"Athanasios ""Tom"" Asimakopulos",Male,,
1671,"Atkeson, A",A Atkeson,Andrew Atkeson,Male,,
10204,"Aughinbaugh, A",A Aughinbaugh,Alison Aughinbaugh,Female,,
8966,"Banerjee, A",A Banerjee,Abhijit Banerjee,Male,,
9958,"Barilan, A",A Barilan,Avner Bar-ilan,Male,,
2209,"Barnea, A",A Barnea,?,?,,
9102,"Barr, A",A Barr,?,?,,
8946,"Bartel, A",A Bartel,Ann P. Bartel,Female,,
5783,"Batchelder, A",A Batchelder,Alan B. Batchelder,Male,,
14406,"Beacham, A",A Beacham,Arthur Beacham ,Male,,
2871,"Beja, A",A Beja,Avraham Beja,Male,,
3157,"Belinfante, A",A Belinfante,Alexander Belinfante,Male,,
239,"Bergson, A",A Bergson,Abram Bergson,Male,,
4084,"Berry, A",A Berry,?,?,,
4480,"Bershadker, A",A Bershadker,Andrew Bershadker,Male,,
14159,"Beyer, A",A Beyer,Andreas Beyer,Male,,
6694,"Bhaduri, A",A Bhaduri,Amit Bhaduri,Male,,
14275,"Billot, A",A Billot,Antoine Billot,Male,,
4569,"Bjorklund, A",A Bjorklund,?,?,,
11322,"Blakemore, A",A Blakemore,Arthur Blakemore,Male,,
1950,"Blume, A",A Blume,Andreas Blume,Male,,
10024,"Boersch-Supan, A",A Boersch-Supan,Axel Börsch-Supan,Male,,
3923,"Booth, A",A Booth,?,?,,
1578,"Borsch-Supan, A",A Borsch-Supan,Axel Börsch-Supan,Male,,
13715,"Bosch-Domenech, A",A Bosch-Domenech,Antoni Bosch-Domènech,Male,,
4613,"Boschdomenech, A",A Boschdomenech,Antoni Bosch-Domènech,Male,,
5825,"Bose, A",A Bose,?,?,,
14373,"Bottomley, A",A Bottomley,Anthony Bottomley,Male,,
5907,"Bourneuf, A",A Bourneuf,"Alice E. Bourneuf,",Female,,
11420,"Braverman, A",A Braverman,Avishay Braverman,Male,,
5945,"Breton, A",A Breton,Albert Breton,Male,,
5466,"Britton, A",A Britton,?,?,,
3488,"Brody, A",A Brody,?,?,,
11611,"Brown, A",A Brown,Alexander L. Brown,Male,,
9920,"Bruce, A",A Bruce,?,?,,
4352,"Budd, A",A Budd,Alan Budd,Male,,
9723,"Buse, A",A Buse,Adolf Buse,Male,,
3118,"Butler, A",A Butler,?,?,,
2467,"Cairncross, A",A Cairncross,Alexander Cairncross,Male,,
2083,"Camacho, A",A Camacho,Adriana Camacho,Female,,
