"Aaron, H",Henry Aaron,Henry Aaron,Male
"Aaron, Henry",Henry Aaron,Henry Aaron,Male
"Aaron, Hj",Henry Aaron,Henry Aaron,Male
"Aaronson, Daniel",Daniel Aaronson,Daniel Aaronson,Male
"Abadie, Alberto",Alberto Abadie,Alberto Abadie,Male
"Abadir, Km",Km Abadir,Karim Abadir,Male
"Abaluck, Jason",Jason Abaluck,Jason Abaluck,Male
"Abbott, Brant",Brant Abbott,Brant Abbott,Male
"Abbott, Charles C.",Charles C. Abbott,Charles C. Abbott,Male
"Abbott, Charles Cortez",Charles Cortez Abbott,Charles Cortez Abbott,Male
"Abbring, Jaap H.",Jaap H. Abbring,Jaap H. Abbring,Male
"Abbring, Jh",Jh Abbring,Jaap H. Abbring,Male
"Abdellaoui, Mohammed",Mohammed Abdellaoui,Mohammed Abdellaoui,Male
"Abdulkadiroglu, A",A Abdulkadiroglu,Atila Abdulkadiroglu,Male
"Abdulkadiroglu, Atila",Atila Abdulkadiroglu,Atila Abdulkadiroglu,Male
"Abel, Ab",Ab Abel,Andrew B. Abel,Male
"Abel, Andrew B.",Andrew B. Abel,Andrew B. Abel,Male
"Abeler, Johannes",Johannes Abeler,Johannes Abeler,Male
"Abhyankar, A",A Abhyankar,"Abhay Abhyankar

",Male
"Abowd, Jm",Jm Abowd,John M. Abowd,Male
"Abowd, John M.",John M. Abowd,John M. Abowd,Male
"Abraham, Katharine G.",Katharine G. Abraham,Katharine G. Abraham,Female
"Abraham, Kg",Kg Abraham,Katharine G. Abraham,Female
"Abramitzky, Ran",Ran Abramitzky,Ran Abramitzky,Male
"Abs, H. J.",H. J. Abs,Hermann Josef Abs,Male
"Acconcia, Antonio",Antonio Acconcia,Antonio Acconcia,Male
"Acemoglu, D",D Acemoglu,Daron Acemoglu,Male
"Acemoglu, Daron",Daron Acemoglu,Daron Acemoglu,Male
"Acharya, Avidit",Avidit Acharya,Avidit Acharya,Male
"Ackley, G",G Ackley,Gardner Ackley,Male
"Ackley, Gardner",Gardner Ackley,Gardner Ackley,Male
"Acolin, Arthur",Arthur Acolin,Arthur Acolin,Male
"Acton, Jp",Jp Acton,Jan Paul Acton,Male
"Adam, Klaus",Klaus Adam,Klaus Adam,Male
"Adamou, Adamos",Adamos Adamou,Adamos Adamou,Male
"Adams, Aa",Aa Adams,Abi Adams,Female
"Adams, Abi",Abi Adams,Abi Adams,Female
"Adams, Jd",Jd Adams,James D. Adams,Male
"Adams, Renee B.",Renee B. Adams,Renée Adams,Female
"Adams, W",W Adams,William Adams,Male
"Adda, Jerome",Jerome Adda,Jérôme Adda,Male
"Adelman, I",I Adelman,Irma Adelman,Female
"Adermon, Adrian",Adrian Adermon,Adrian Adermon,Male
"Ades, A",A Ades,Alberto F. Ades,Male
"Adhvaryu, Achyuta",Achyuta Adhvaryu,Achyuta Adhvaryu,Male
"Admati, Ar",Ar Admati,Anat R. Admati,Female
"Adsera, A",A Adsera,Alicia Adsera,Female
"Adsera, Alicia",Alicia Adsera,Alicia Adsera,Female
"Afendulis, Cc",Cc Afendulis,Christopher C. Afendulis,Male
"Afriat, S. N.",S. N. Afriat,Sydney N. Afriat,Male
"Agan, Amanda",Amanda Agan,Amanda Agan,Female
