,0,AuthorID
0,"Towse, R",9619
1,"KITCHIN, PD",9620
2,"Shamdasani, Yogita",9621
3,"Park, Y",9622
4,"MCCLELLAN, M",9623
5,"Allen, J. E.",9624
6,"Portrait, France",9625
7,"SAMUELSON, WF",9626
8,"Kartik, Navin",9627
9,"Weisbach, David",9628
10,"Vallee, Boris",9629
11,"Bouman, S",9630
12,"Sugden, R",9631
13,"Arnold, Sam",9632
14,"JAMES, JA",9633
15,"Goldberger, Arthur S.",9634
16,PSACHARO.G,9635
17,"Dauphin, Anyck",9636
18,"SMITH, BA",9637
19,"Dvoretzky, A.",9638
20,"Schwarz, N",9639
21,"Ghosal, Sayantan",9640
22,"THALER, RH",9641
23,"Gartenberg, Claudine",9642
24,"KIM, SW",9643
25,"LOSCHKY, D",9644
26,"Monacelli, Tommaso",9645
27,"WILLIAMS, FM",9646
28,"Huber, Juergen",9647
29,"Meads, Neil",9648
30,"Rutstrom, EE",9649
31,"Blundell, R",9650
32,"Adelman, Morris A.",9651
33,"Ockenfels, P",9652
34,"COLANDER, D",9653
35,"Anelli, Massimo",9654
36,"ODDOU, C",9655
37,"Chateauneuf, A",9656
38,"Waldfogel, J",9657
39,"Blackburn, K",9658
40,HILDENBR.W,9659
41,"COHEN, L",9660
42,"COOPER, WW",9661
43,"Bangs, R. B.",9662
44,"Sen, A",9663
45,"Grembi, Veronica",9664
46,"Haltiwanger, John",9665
47,"Howitt, Peter",9666
48,"ROSS, SA",9667
49,"Guthmann, Harry G.",9668
50,"ZAK, TA",9669
51,"Nevin, Edward",9670
52,"Manski, CF",9671
53,"Gillman, M",9672
54,"Salera, Virgil",9673
55,"BOTTOMLEY, P",9674
56,"LININGER, CA",9675
57,"Banerjee, Abhijit, V",9676
58,"Bowley, A. L.",9677
59,"Colt, Stephen G.",9678
60,"FEREJOHN, J",9679
61,"Chaney, Thomas",9680
62,"Gilbert, RJ",9681
63,"JUNZ, HB",9682
64,"Back, Kerry",9683
65,"Pill, Huw",9684
66,"Mishra, Vinod",9685
67,"Culp, Christopher L.",9686
68,"Carneiro, P",9687
69,"MILLS, ES",9688
70,"ALSTON, LJ",9689
71,"SUMMERS, LH",9690
72,"HASTINGS, VS",9691
73,"Conlon, John R.",9692
74,"Bai, Yan",9693
75,"Glaeser, Edward L.",9694
76,"Alonso-Carrera, Jaime",9695
77,"Allen, G. C.",9696
78,"WHITING, GC",9697
79,"Crossley, TF",9698
80,"De Donder, Philippe",9699
81,"HAWORTH, JG",9700
82,"CECCHETTI, SG",9701
83,"Dewan, Torun",9702
84,"Bessen, JE",9703
85,"Cornaglia, Francesca",9704
86,"NERI, JA",9705
87,"Haushofer, Johannes",9706
88,"Higgins, Benjamin",9707
89,"Baicker, K",9708
90,"Gersbach, H",9709
91,"Friebel, Guido",9710
92,"ALPERT, SB",9711
93,"Ohanian, LE",9712
94,"Tyran, Jean-Robert",9713
95,"CHAN, KS",9714
96,"Walters, Christopher R.",9715
97,"Stratmann, Thomas",9716
98,"EATWELL, J",9717
99,"BRADLEY, PG",9718
100,"ANDERSON, RW",9719
101,"Hertz, T",9720
102,"Neidell, M",9721
103,"Krishnamurthy, Arvind",9722
104,"Hirshleifer, Jack",9723
105,"RAM, R",9724
106,"LEVINE, PB",9725
107,"YAARI, ME",9726
108,"Akerlof, George A.",9727
109,"ISENMAN, P",9728
110,"Lima, Francisco",9729
111,"Salmon, M",9730
112,"Yao, Chen",9731
113,"Gradstein, M",9732
114,"Thomas, Duncan",9733
115,"HOFFMAN, SD",9734
116,"OSTERMAN, P",9735
117,"SAVING, TR",9736
118,"SELIGMAN, BB",9737
119,"Wen, Jean-Francois",9738
120,"Sutherland, H",9739
121,"Siemer, Michael",9740
122,"SCITOVSKY, T",9741
123,"Shultz, George P.",9742
124,"Klemperer, Paul",9743
125,"Young, John H.",9744
126,"CROUCH, RL",9745
127,"HALL, RL",9746
128,"Studenski, Paul",9747
129,"Schmidt, L",9748
130,"Del Gatto, Massimo",9749
131,"GARFINKEL, MR",9750
132,"MOREY, ER",9751
133,"Dolado, Juan J.",9752
134,"Stafford, Jack",9753
135,"Schaur, Georg",9754
136,"Koopmans, Tjalling",9755
137,"Norris, Harry",9756
138,"Gottlieb, Manuel",9757
139,"SCHWARTZ, NL",9758
140,"Vignoles, A",9759
141,"De Grip, Andries",9760
142,"Stockley, Karen",9761
