,metadata,ArticleID,index,last name,first name,AuthorName
0,"Worswick, Gdn",11725,,Worswick, Gdn, Gdn Worswick
1,"Stigler, Gj",11726,,Stigler, Gj, Gj Stigler
2,"Smith, Wl",11727,,Smith, Wl, Wl Smith
3,"Mikesell, Rf",11727,,Mikesell, Rf, Rf Mikesell
4,"Gorman, Wm",11728,,Gorman, Wm, Wm Gorman
5,"Nutter, Gw",11729,,Nutter, Gw, Gw Nutter
6,"Friedman, M",11730,,Friedman, M, M Friedman
7,"Becker, Gs",11730,,Becker, Gs, Gs Becker
8,"Gehrels, F",11731,,Gehrels, F, F Gehrels
9,"Leibenstein, H",11732,,Leibenstein, H, H Leibenstein
10,"Smith, Rs",11733,,Smith, Rs, Rs Smith
11,"Hammett, Rs",11734,,Hammett, Rs, Rs Hammett
12,"Seidman, J",11734,,Seidman, J, J Seidman
13,"London, J",11734,,London, J, J London
14,"Downs, A",11735,,Downs, A, A Downs
15,"Adelman, Ma",11736,,Adelman, Ma, Ma Adelman
16,"Maher, Je",11737,,Maher, Je, Je Maher
17,"Kennedy, J",11738,,Kennedy, J, J Kennedy
18,"Darling, Pg",11739,,Darling, Pg, Pg Darling
19,"Margolis, J",11740,,Margolis, J, J Margolis
20,"Hilton, Gw",11741,,Hilton, Gw, Gw Hilton
21,"Hansen, Wl",11742,,Hansen, Wl, Wl Hansen
22,"Bailey, Mj",11743,,Bailey, Mj, Mj Bailey
23,"Johnson, Ll",11744,,Johnson, Ll, Ll Johnson
24,"Mccaffree, Km",11745,,Mccaffree, Km, Km Mccaffree
25,"Worcester, Da",11746,,Worcester, Da, Da Worcester
26,"Fleming, Jm",11747,,Fleming, Jm, Jm Fleming
27,"Ward, B",11748,,Ward, B, B Ward
28,"Nelson, Rr",11749,,Nelson, Rr, Rr Nelson
29,"Rose, Am",11750,,Rose, Am, Am Rose
30,"Trued, Mn",11751,,Trued, Mn, Mn Trued
31,"Peterson, Jm",11752,,Peterson, Jm, Jm Peterson
32,"Sohmen, E",11753,,Sohmen, E, E Sohmen
33,"Lerner, Ap",11754,,Lerner, Ap, Ap Lerner
34,"Rothschild, Kw",11755,,Rothschild, Kw, Kw Rothschild
35,"Bronfenbrenner, M",11756,,Bronfenbrenner, M, M Bronfenbrenner
36,"Rothschild, Kw",11757,,Rothschild, Kw, Kw Rothschild
37,"Tolley, Gs",11758,,Tolley, Gs, Gs Tolley
38,"Montias, Jm",11759,,Montias, Jm, Jm Montias
39,"Harberger, Ac",11760,,Harberger, Ac, Ac Harberger
40,"Hoag, Mw",11761,,Hoag, Mw, Mw Hoag
41,"Kaplan, Nm",11762,,Kaplan, Nm, Nm Kaplan
42,"Wainstein, Es",11762,,Wainstein, Es, Es Wainstein
43,"Taylor, Oh",11763,,Taylor, Oh, Oh Taylor
44,"Enke, S",11764,,Enke, S, S Enke
45,"Smith, Wl",11765,,Smith, Wl, Wl Smith
46,"Eckstein, O",11766,,Eckstein, O, O Eckstein
47,"Bator, Fm",11767,,Bator, Fm, Fm Bator
48,"Mason, We",11768,,Mason, We, We Mason
49,"Wellisz, Sh",11769,,Wellisz, Sh, Sh Wellisz
50,"Hines, Hh",11770,,Hines, Hh, Hh Hines
51,"Akerman, G",11771,,Akerman, G, G Akerman
52,"Moes, J",11772,,Moes, J, J Moes
53,"Minsky, Hp",11773,,Minsky, Hp, Hp Minsky
54,"Nurkse, R",11774,,Nurkse, R, R Nurkse
55,"Granick, D",11775,,Granick, D, D Granick
56,"Lampman, Rj",11776,,Lampman, Rj, Rj Lampman
57,"Liebhafsky, Hh",11777,,Liebhafsky, Hh, Hh Liebhafsky
58,"Nicholls, Wh",11778,,Nicholls, Wh, Wh Nicholls
59,"Lichtenstein, W",11779,,Lichtenstein, W, W Lichtenstein
60,"Kenen, Pb",11780,,Kenen, Pb, Pb Kenen
61,"Fisher, Fm",11780,,Fisher, Fm, Fm Fisher
62,"Higonnet, Rp",11781,,Higonnet, Rp, Rp Higonnet
63,"Holzman, Fd",11782,,Holzman, Fd, Fd Holzman
64,"Brown, Wh",11783,,Brown, Wh, Wh Brown
65,"Kenen, Pb",11784,,Kenen, Pb, Pb Kenen
66,"Margolis, J",11785,,Margolis, J, J Margolis
67,"Schumann, J",11786,,Schumann, J, J Schumann
68,"Todt, H",11786,,Todt, H, H Todt
69,"Villard, Hh",11787,,Villard, Hh, Hh Villard
70,"Culbertson, Jm",11788,,Culbertson, Jm, Jm Culbertson
71,"Stolper, Wf",11789,,Stolper, Wf, Wf Stolper
72,"Brown, Ehp",11790,,Brown, Ehp, Ehp Brown
73,"Sen, Ak",11791,,Sen, Ak, Ak Sen
74,"Steiner, Po",11792,,Steiner, Po, Po Steiner
