,AuthorName,Sex,NativeLanguage,PhDYear,Note
0,George David Norman Worswick,Male,,,
75,Franz Gehrels,Male,,,
78,Harvey Leibenstein,Male,,,
194,Egon Sohmen,Male,,,
200,Abraham P Lerner,Male,,,
270,Francis Michel Bator,Male,,,
282,Hyman Philip Minsky,Male,,,
286,David Granick,Male,,,
292,Harold H Liebhafsky,Male,,,
365,Amartya Sen,Male,,,
400,Carl Sumner Shoup,Male,,,
530,Anthony de Jasay,Male,,,
581,Calvin Bryce Hoover,Male,,,
630,Charles Raymond Whittlesey,Male,,,
647,Donald J. Bogue,Male,,,
740,Daniel Ellsberg,Male,,,
894,David van Dantzig,Male,,,
933,George Lennox Sharman Shackle,Male,,,
937,Edith Penrose,Female,,,
958,Henry J. Bruton,Male,,,
965,Frank de Jong,Male,,,
1014,Charles Mills Tiebout,Male,,,
1131,Harvey J. Levin:,Male,,,
1138,Enrique Lerdau,Male,,,
1156,Frederick Harris Harbison,Male,,,
1276,Charles Wolf,Male,,,
1277,George H. Hildebrand,Male,,,
1298,James C. Nelson,Male,,,
1302,Benjamin Higgins,Male,,,
1317,Edgar O. Edwards,Male,,,
1327,Frank H. H. King,Male,,,
1338,G. Warren Nutter,Male,,,
1346,Charlotte P. Alhadeff,Female,,,
1347,David A. Alhadeff,Male,,,
1350,Alex Hunter,Male,,,
1351,Andrew F. Brimmer,Male,,,
1352,Bruce Glassburner,Male,,,
1361,James M. Henderson,Male,,,
1364,Edward Nevin,Male,,,
1368,Francois Morin,Male,,,
1382,Robert E. Weintraub,Male,,,
1384,E. Cary Brown,Male,,,
1406,Colin D. Campbell,Male,,,
1427,Dennis Holme Robertson,Male,,,
1438,Carl Major Wright,Male,,,
1442,Donald Macdougall,Male,,,
1450,Ernest H. Stern,Male,,,
1454,Brian Tew,Male,,,
1459,Bruce F. Johnston,Male,,,
1470,George W. Wilson,Male,,,
1473,Deane C. Carson,Male,,,
1479,Alfred Zauberman,Male,,,
1481,Alfred R. Oxenfeldt,Male,,,
1485,Ernest Van Den Haag,Male,,,
1487,John P. Henderson,Male,,,
1494,Fritz Machlup,Male,,,
1499,Edward Victor Morgan,Male,,,
1505,Alvin H. Hansen,Male,,,
1517,George Christopher Archibald,Male,,,
1520,Adolf Sturmthal,Male,,,
1546,Frederick T. Moore,Male,,,
1548,Bert F. Hoselitz,Male,,,
1565,Robert E. Baldwin,Male,,,
1572,Henry G. Aubrey,Male,,,
1589,Daniel M. Holland,Male,,,
1620,Charles Addison Hickman,Male,,,
1631,Ford K. Edwards,Male,,,
1640,Fred M. Westfield,Male,,,
1644,Arnold P. Collery,Male,,,
1645,Harold Lydall,Male,,,
1650,Donald Dewey,Male,,,
1663,Anthony Scott,Male,,,
1667,Frank H. Knight,Male,,,
1689,George V. Stocking,Male,,,
1726,Kevin X. D. Huang,Male,,,
1731,Giuseppe Migali,Male,,,
1732,Andrew E. Clark,Male,,,
1749,Giorgio Brunello,Male,,,
1759,Corinne Prost,Female,,,
1792,Richard Blundell,Male,,,
1821,Helmut Rainer,Male,,,
1829,Sarah Smith,Female,,,
1837,Bernard Sinclair-Desgagne,Male,,,
1851,David P. Myatt,Male,,,
1863,John Carlson,Male,,,
1866,Bruce Mcgough,Male,,,
1871,Hiau Looi Kee,Female,,,
1874,Alessandro Nicita,Male,,,
1911,Armin Schwienbacher,Male,,,
1915,Eduardo Levy Yeyati,Male,,,
1919,David Vestin,Male,,,
1920,Bernardin Akitoby,Male,,,
1927,Andrea Caggese,Male,,,
1929,Eyal Baharad,Male,,,
1938,Gregorios Siourounis,Male,,,
1940,Federico Weinschelbaum,Male,,,
1952,Akira Maeda,Male,,,
2022,Dana Heller,Female,,,
2040,David Bjerk,Male,,,
2063,Gianna Boero,Female,,,
2064,Jeremy Smith,Male,,,
2067,Anthony Garratt,Male,,,
2071,Holger Strulik,Male,,,
2084,Christian A. L. Hilber,Male,,,
2088,Richard E. Lucas,Male,,,
2096,Christina Paxson,Female,,,
2102,Anne E. Polivka,Female,,,
2103,Ariel R. Belasen,Male,,,
2122,Christopher Geissler,Male,,,
2125,James Poterba,Male,,,
2147,Daniel C. Esty,Male,,,
2148,Martin Feldstein,Male,,,
2154,Richard Baldwin,Male,,,
2156,Erik Berglof,Male,,,
2158,Guldo Friebel,Male,,,
2160,Carlo Favero,Male,,,
2171,Bernard Salanie,Male,,,
2179,Glenn Daily,Male,,,
2201,Andrew Caplin,Male,,,
2245,Timothy Besley,Male,,,
2284,David Colander,Male,,,
2286,Peter Howitt,Male,,,
2290,Alan Kirman,Male,,,
2291,Axel Leijonhufvud,Male,,,
2304,Giacomo Rondina,Male,,,
2305,Blake Lebaron,Male,,,
2331,Bilge Yilmaz,Male,,,
2333,Ailsa Roell,Female,,,
2337,Francisco J. Gomes,Male,,,
2377,Harald Hau,Male,,,
2378,H?lène Rey,Female,,,
2407,Edward Vytlacil,Male,,,
2414,Claudia Goldin,Female,,,
2459,David Card,Male,,,
2472,Donald G. Freeman,Male,,,
2518,Andres Rodriguez-Clare,Male,,,
2525,Daniel Y. Xu,Male,,,
2532,Franco Peracchi,Male,,,
2554,Abhijit Banerjee,Male,,,
2569,Adriana Camacho,Female,,,
2583,David S. Jacks,Male,,,
2584,Christopher A. Meissner,Male,,,
2585,Dennis Novy,Male,,,
2586,Dennis P. Quinn,Male,,,
2611,James Sefton,Male,,,
2617,Martin Weale,Male,,,
2622,Frederic Docquier,Male,,,
2628,Amparo Castello-Climent,Female,,,
2633,Ellen E. Meade,Female,,,
2634,David Stasavage,Male,,,
2635,Camille Cornand,Female,,,
2656,Euan Phimister,Male,,,
2657,Andros Kourtellos,Male,,,
2661,Chiara Pronzato,Female,,,
2662,Elisa Faraglia,Female,,,
2671,Andrew Scott,Male,,,
2676,Hans-Theo Normann,Male,,,
2681,Ander Perez,Male,,,
2685,Andre Meier,Male,,,
2691,Alison L. Booth,Female,,,
2705,Emla Fitzsimons,Female,,,
2708,Alissa Goodman,Female,,,
2713,Gillian Paull,Female,,,
2729,Jessica Holmes,Female,,,
2753,Arthur Schram,Male,,,
2771,Douglas Rivers,Male,,,
2778,Mark E. Schweitzer,Male,,,
2781,Holger Bonin,Male,,,
2794,Anthony A. Braga,Male,,,
2798,Andrew Leigh,Male,,,
2814,Mark M. Spiegel,Male,,,
2822,Hans Peter Gruener,Male,,,
2825,Chryssi Giannitsarou,Female,,,
2827,Fabrice Collard,Male,,,
2831,Harris Dellas,Male,,,
2840,Helene Turon,Female,,,
2875,Christina M. Fong,Female,,,
2887,Eric De Bodt,Male,,,
2929,Bjorn Brugemann,Male,,,
2941,Giulia Faggio,Female,,,
2943,Stephen Nickell,Male,,,
2954,Giovanna Vallanti,Female,,,
2956,Andrew J. Yates,Male,,,
2962,James Heckman,Male,,,
