,combined
0,"TI: Gold, SDRs, and Central Bank Swaps: A Reply"
1,"AU: Aliber, Robert Z."
2,AF: Unlisted
3,"SO: Journal of Monetary Economics, 1(1), January 1975, pp. 109-10"
4,IS: 0304-3923
5,AV: http://www.sciencedirect.com/science/journal/03043932
6,DT: Journal Article
7,PY: 1975
8,"DE: International Monetary Arrangements 4320Open Economy Macroeconomics, Exchange Rates--General 4310"
9,GD: U.S.
10,GR: Northern America
11,LA: English
12,UD: 199006
13,AN: 0088661
14,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
15,TI: The Response of Interest Rates to Expected Inflation in the MPS Model
16,"AU: Anderson, Paul A., Sargent, Thomas J., Thistlethwaite, Carol"
17,"AF: Unlisted, Unlisted, Unlisted"
18,"SO: Journal of Monetary Economics, 1(1), January 1975, pp. 111-15"
19,IS: 0304-3923
20,AV: http://www.sciencedirect.com/science/journal/03043932
21,DT: Journal Article
22,PY: 1975
23,"DE: Forecasting and Econometric Models--Theory and Methodology 1324Domestic Monetary Theory, Empirical Studies Illustrating Theory 3112"
24,GD: U.S.
25,GR: Northern America
26,LA: English
27,UD: 199006
28,AN: 0088662
29,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
30,TI: A Portfolio Balance Model of the Open Economy
31,"AU: Dornbusch, Rudiger"
32,AF: Unlisted
33,"SO: Journal of Monetary Economics, 1(1), January 1975, pp. 3-20"
34,IS: 0304-3923
35,AV: http://www.sciencedirect.com/science/journal/03043932
36,DT: Journal Article
37,PY: 1975
38,DE: Open Economy Macroeconomic Theory--Balance of Payments and Adjustment Mechanisms 4312
39,LA: English
40,UD: 199006
41,AN: 0088663
42,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
43,TI: Testing the Importance of 'Money Market Pressure.'
44,"AU: Edgar, S. Michael"
45,AF: Unlisted
46,"SO: Journal of Monetary Economics, 1(1), January 1975, pp. 79-92"
47,IS: 0304-3923
48,AV: http://www.sciencedirect.com/science/journal/03043932
49,DT: Journal Article
50,PY: 1975
51,DE: Domestic Monetary Theory and Policy 3110
52,GD: U.S.
53,GR: Northern America
54,LA: English
55,UD: 199006
56,AN: 0088664
57,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
58,TI: Tax Avoidance by Savings-and-Loan Associations before and after the Tax Reform Act of 1969
59,"AU: Kane, Edward J., Valentini, John J."
60,"AF: Unlisted, Unlisted"
61,"SO: Journal of Monetary Economics, 1(1), January 1975, pp. 41-63"
62,IS: 0304-3923
63,AV: http://www.sciencedirect.com/science/journal/03043932
64,DT: Journal Article
65,PY: 1975
66,"DE: Financial Intermediaries 3140National Taxation, Revenue, and Subsidies 3230"
67,GD: U.S.
68,GR: Northern America
69,LA: English
70,UD: 199006
71,AN: 0088665
72,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
73,TI: The Views of the Joint Economic Committee on International Monetary Reform: A Rejoinder
74,"AU: Karlik, John R."
75,AF: Unlisted
76,"SO: Journal of Monetary Economics, 1(1), January 1975, pp. 93-108"
77,IS: 0304-3923
78,AV: http://www.sciencedirect.com/science/journal/03043932
79,DT: Journal Article
80,PY: 1975
