index,AuthorID,AuthorName,Sex,NativeLanguage,PhDYear,Note
0,1,A. Abigail Payne,Female,,,
1,2,A. Andrew John,Male,English,,
2,3,A. Belloni,Male,,,
3,4,A. Colin Cameron,Male,English,,
4,5,A. Joshua Strickland,Male,English,,
5,6,A. Lans Bovenberg,Male,Non-English,,
6,7,A. M. Robert Taylor,Male,Non-English,,
7,8,A. Michael Spence,Male,English,1972.0,
8,9,Ariel Pakes,Male,English,1979.0,
9,10,A. Robert Nobay,Male,Unknown,,
10,11,Aanund Hylland,Male,,,
11,12,Aaron Roth,Male,,,
12,13,Aaron S. Edlin,Male,English,1993.0,
13,14,Aaron S. Yelowitz,Male,English,,
14,15,Aarón Tornell,Male,Non-English,,
15,17,Aart Kraay,Male,English,,
16,19,Aba Schwartz,Male,Unknown,,
17,20,Abdul Abiad,Male,Non-English,,
18,21,Abel Winn,Male,English,,
19,23,Abhijit Sengupta,Male,Unknown,,
20,24,Abhijit V. Banerjee,Male,English,1988.0,
21,25,Abi Adams,Female,English,,
22,26,Abraham Neyman,Male,Non-English,,
23,27,Abram Bergson,Male,English,,
24,28,Adam Ashcraft,Male,English,,
25,29,Adam B. Jaffe,Male,English,,
26,30,Adam Brandenburger,Male,English,,
27,31,Adam Guren,Male,,2014.0,
28,32,Adam Hale Shapiro,Male,English,,
29,33,Adam Kalai,Male,,,
30,34,Adam Looney,Male,English,,
31,35,Adam M. Rosen,Male,English,,
32,36,Adam Ray,Male,,,
33,37,Adam Storeygard,Male,English,2012.0,
34,38,Adam Szeidl,Male,Non-English,2004.0,
35,39,Adam Wantz,Male,English,,
36,40,Adi Brender,Male,Non-English,,
37,41,Adib Bagh,Male,English,2008.0,
38,42,Adriaan Soetevent,Male,Non-English,,
39,43,Adrian Bruhin,Male,Non-English,,
40,44,Adrian Peralta-Alva,Male,Non-English,,
41,45,Adriana D. Kugler,Female,English,,
42,46,Adriana Lleras-Muney,Female,English,2001.0,
43,47,Adrien Verdelhan,Male,Non-English,2005.0,
44,48,Adrienne M. Lucas,Female,,,
45,49,Ady Pauzner,Male,Non-English,,
46,50,Agar Brugiavini,Female,Non-English,,
47,51,Ahmed Mushfiq Mobarak,Male,English,2002.0,
48,52,Ahmed S. Rahman,Male,,,
49,53,Ahuva Mu'alem,Female,,,
50,54,Aico van Vuuren,Male,Non-English,,
51,55,Ailsa Röell,Female,Non-English,,
52,56,Ajay Agrawal,Male,English,,
53,57,Ajeyo Banerjee,Male,English,,
54,58,Akhmed Akhmedov,Male,Non-English,,
55,59,Akira Okada,Male,Non-English,,
56,60,Akram Temimi,Male,Non-English,,
57,61,Akwasi Nti-Addae,Male,,,
58,62,Al H. Ringleb,Male,,,
59,64,Alain Cohn,Male,Non-English,,
60,65,Alain Trannoy,Male,Non-English,,
61,67,Alan B. Krueger,Male,English,,
62,69,Alan Beggs,Male,English,,
63,70,Alan C. Stockman,Male,English,,
64,71,Alan Harrison,Male,English,,
65,72,Alan Heston,Male,,,
66,73,Alan I. Barreca,Male,English,,
67,74,Alan J. Auerbach,Male,English,,
68,75,Alan J. Marcus,Male,English,,
69,76,Alan K. Fox,Male,,,
70,79,Alan L. Gustman,Male,English,,
71,80,Alan L. Olmstead,Male,,,
72,81,Alan M. Taylor,Male,English,,
73,82,Alan Manning,Male,English,1985.0,
74,83,Alan Mathios,Male,English,,
75,84,Alan Morrison,Male,,,
76,85,Alan R. Rogers,Male,English,,
77,86,Alan S. Blinder,Male,English,,
78,87,Alan S. Frankel,Male,,,
79,88,Alan Schwartz,Male,,,
80,89,Alan Slivinski,Male,English,,
81,91,Alan T. Sorensen,Male,English,1999.0,
82,92,Alan V. Deardorff,Male,English,,
83,93,Albert Breton,Male,Unknown,,
84,94,Albert Marcet,Male,Non-English,1987.0,
85,95,Albert N. Link,Male,English,,
86,96,Albert Saiz,Male,Non-English,2002.0,
87,97,Alberto Abadie,Male,Non-English,1999.0,
88,98,Alberto Alesina,Male,Non-English,,
89,99,Alberto Bennardo,Male,Non-English,,
90,100,Alberto Bisin,Male,Non-English,1994.0,
91,101,Alberto Cavallo,Male,Non-English,2010.0,
92,102,Alberto Dávila,Male,English,,
93,103,Alberto F. Ades,Male,Non-English,,
94,104,Alberto Giovannini,Male,Non-English,,
95,105,Alberto Martin,Male,Non-English,,
96,106,Alberto Trejos,Male,,,
97,107,Aldo Rustichini,Male,Non-English,1987.0,
98,108,Aleh Tsyvinski,Male,Non-English,2003.0,
99,109,Alejandro Hernández D.,Male,Non-English,,
100,110,Alejandro Jofre,Male,,,
101,111,Alejandro Justiniano,Male,English,,
102,112,Alejandro M. Manelli,Male,Non-English,,
103,113,Aleksander Berentsen,Male,Non-English,,
104,114,Alessandra Casella,Female,Non-English,,
105,115,Alessandra Fogli,Female,Non-English,,
106,116,Alessandra Voena,Female,Non-English,2011.0,
107,117,Alessandro Bonatti,Male,English,2009.0,
108,118,Alessandro Citanna,Male,Non-English,,
109,119,Alessandro Gavazza,Male,Non-English,2005.0,
110,120,Alessandro Lizzeri,Male,Non-English,1995.0,
111,121,Alessandro Pavan,Male,Non-English,2001.0,
112,122,Alessandro Riboni,Male,Non-English,,
113,123,Alessandro Tarozzi,Male,,2002.0,
114,124,Alex A. Himonas,Male,Unknown,,
115,125,Alex Cukierman,Male,Non-English,,
116,126,Alex Gershkov,Male,Non-English,,
117,127,Alex R. Horenstein,Male,Unknown,,
118,128,Alex Rees-Jones,Male,English,2013.0,
119,129,Alex Tabarrok,Male,,,
120,130,Alexander David,Male,English,,
121,131,Alexander F. Wagner,Male,Non-English,,
122,132,Alexander Frankel,Male,English,2011.0,
123,133,Alexander Galetovic,Male,Non-English,,
124,134,Alexander Karaivanov,Male,Non-English,,
125,135,Alexander Klein,Male,Non-English,,
126,136,Alexander L. Brown,Male,,,
127,137,Alexander L. Wolman,Male,English,,
128,138,Alexander Ljungqvist,Male,,,
129,139,Alexander Ludwig,Male,,,
130,140,Alexander Monge-Naranjo,Male,Non-English,,
131,141,Alexander S. Gorbenko,Male,Non-English,,
132,142,Alexander Strand,Male,Non-English,,
133,143,Alexander W. Cappelen,Male,Non-English,,
134,144,Alexander Westkamp,Male,,,
