index,AuthorID,Year,BirthOrder
0,46,2005,1
1,46,2008,1
2,115,2003,1
3,115,2005,1
4,7279,1982,1
5,215,2007,1
6,215,2010,1
7,228,1997,1
8,228,1987,1
9,228,1995,1
10,241,2007,1
11,241,2010,1
12,335,1970,1
13,451,2010,1
14,219,2011,1
15,219,2013,1
16,6269,1968,1
17,6269,1968,2
18,4351,2012,1
19,1669,2012,1
20,246,1987,1
21,246,1991,1
22,339,2003,1
23,339,2005,1
24,344,2006,1
25,350,1986,1
26,350,1992,1
27,6304,1982,1
28,6304,1986,1
29,6304,1988,1
30,196,2005,1
31,196,2009,1
32,212,1994,1
33,212,1996,1
34,8623,2013,1
35,8623,2016,1
36,4196,2012,1
37,4314,2000,1
38,4314,2004,1
39,4314,2011,1
40,4619,1996,1
41,4619,1996,2
42,5006,2009,1
43,5006,2011,1
44,7269,1990,1
45,5538,2006,1
46,5538,2004,1
47,6747,1990,1
48,6747,1992,1
49,748,2001,1
50,748,2003,1
51,7459,1997,1
52,7459,2001,1
53,6715,1975,1
54,6715,1980,1
55,6715,1984,1
56,6499,1956,1
57,7381,1994,1
58,7381,1996,1
59,2657,1987,1
60,4376,2012,1
61,4376,2014,1
62,6474,1934,1
63,6474,1937,1
64,5083,1998,1
65,5083,2000,1
66,219,2009,1
67,219,2009,2
68,7409,1988,1
69,7409,1993,1
70,6859,1966,1
71,6859,1965,1
72,6604,1995,1
73,6604,1995,2
74,3398,2008,1
75,3398,2010,1
76,1849,1979,1
77,1849,1981,1
78,1516,2000,1
