index,ArticleID,JEL
0,3506,F35
1,3506,O4
2,3506,H41
3,3507,L2
4,3507,O33
5,3507,M2
6,3507,O32
7,3508,L10
8,3508,L13
9,3508,D44
10,3508,L41
11,3509,H5
12,3509,H3
13,3509,H2
14,3509,E2
15,3509,E6
16,3510,F1
17,3510,F2
18,3510,F4
19,3511,E21
20,3511,G11
21,3511,D14
22,3511,D84
23,3511,D83
24,3511,D03
25,3512,F13
26,3512,D86
27,3512,K33
28,3512,K12
29,3512,D78
30,3512,D02
31,3513,G32
32,3514,G2
33,3514,G01
34,3514,G21
35,3515,E62
36,3515,N42
37,3516,D14
38,3516,G2
39,3517,Q51
40,3517,H75
41,3517,Q25
42,3517,C93
43,3517,O13
44,3518,D03
45,3518,J12
46,3519,Z13
47,3519,D91
48,3519,D81
49,3520,I21
50,3520,J24
51,3521,N10
52,3521,N50
53,3521,O14
54,3521,J10
55,3522,J20
56,3522,F10
57,3522,O30
58,3523,G28
59,3523,G21
60,3523,G01
61,3524,H20
62,3524,J20
63,3525,D03
64,3525,D83
65,3526,O43
66,3526,E62
67,3526,F21
68,3526,F34
69,3526,F43
70,3526,P16
71,3527,C72
72,3527,D78
73,3527,D72
74,3528,J24
75,3528,I28
76,3528,I21
77,3528,I22
78,3529,N40
79,3529,P16
80,3529,O11
81,3530,D20
82,3530,O10
83,3530,F10
84,3530,D30
85,3530,F15
86,3531,E10
87,3531,D30
88,3531,J10
89,3531,N10
90,3532,F12
91,3532,L10
92,3532,F13
93,3533,D03
94,3533,K40
95,3533,Z13
96,3533,J15
97,3533,D71
98,3534,D74
99,3534,O11
100,3534,H40
101,3535,L91
102,3535,D44
103,3535,H57
104,3535,H41
105,3536,M37
106,3536,D44
107,3536,L86
108,3537,J13
109,3537,O15
110,3537,O12
111,3537,I12
112,3538,F50
113,3538,G14
114,3539,L81
115,3539,G31
116,3539,D40
117,3539,L15
118,3540,I21
119,3540,J12
120,3540,I38
121,3540,C93
122,3541,G21
123,3541,F40
124,3541,E32
125,3541,E44
126,3542,D03
127,3542,D11
128,3542,D81
129,3542,D84
130,3542,C91
131,3543,N13
132,3543,O33
133,3543,O11
134,3543,N33
135,3543,O18
136,3543,N93
137,3544,I21
138,3544,I20
139,3545,I12
140,3546,D02
141,3546,D72
142,3546,H11
143,3547,L14
144,3547,L71
145,3547,D24
146,3547,L23
147,3548,I20
148,3548,H52
149,3549,I12
150,3550,E50
151,3550,E31
152,3551,D83
153,3551,L86
154,3552,I21
155,3552,I24
156,3552,I20
157,3552,J15
158,3553,R11
159,3553,R12
160,3553,O12
161,3553,J24
162,3554,F10
163,3554,F51
164,3554,H56
165,3554,Q32
166,3555,J20
167,3555,G38
168,3555,G34
169,3555,J48
170,3556,H41
171,3556,C93
172,3556,D03
173,3557,F10
174,3557,F12
175,3557,L10
176,3557,F14
177,3558,J38
178,3558,H22
179,3559,C79
180,3559,D03
181,3559,D43
182,3560,E58
183,3560,G01
184,3561,I11
185,3561,D89
186,3562,Q15
187,3562,O16
188,3562,O12
189,3562,D23
190,3563,F14
191,3563,F31
192,3563,F12
193,3564,J51
194,3564,J01
195,3564,J08
196,3564,J50
197,3565,E43
198,3565,E44
199,3565,G12
200,3566,J16
201,3566,J22
202,3566,I21
