,citation_author,citation_author_institution,citation_publication_date,citation_title,dc.description,dc.publisher,dc.subject,dc.type,url,accesses,citations
0,Robert J. Barro,"Department of Economics, Harvard University, Cambridge, USA",1996/03,Democracy and growth,"Growth and democracy (subjective indexes of political freedom) are analyzed for a panel of about 100 countries from 1960 to 1990. The favorable effects on growth include maintenance of the rule of law, free markets, small government consumption, and high human capital. Once these kinds of variables and the initial level of real per capita GDP are held constant, the overall effect of democracy on growth is weakly negative. There is a suggestion of a nonlinear relationship in which more democracy enhances growth at low levels of political freedom but depresses growth when a moderate level of freedom has already been attained. Improvements in the standard of living—measured by GDP, health status, and education—substantially raise the probability that political freedoms will grow. These results allow for predictions about which countries will become more or less democratic over time.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00163340,    6180 ,   659 
0,Jacob Mincer,"Economics Department, Columbia University, New York, USA/National Bureau of Economic Resesarch, USA",1996/03,"Economic development, growth of human capital, and the dynamics of the wage structure","In this paper I elucidate the sources of growth of human capital in the course of economic development. On the supply side (Section 1) I include the growth of family income, urbanization, the demographic transition, and the rising cost of time.The supply side alone cannot explain the continuous growth of human capital as it implies a self limiting decline in rates of return below those in alternative investments. Such declines are offset by growing demands for human capital in the labor market. Growth of demand for labor skills is a function of capital accumulation and of technological changes. Evidence on this hypothesis is summarized in Section 2 and on supply responses to growing demand for human capital in Section 3. Changes in the skill and wage structures in the labor market are an important part of the evidence.The reciprocal relation between economic growth and the growth of human capital is likely to be an important key to sustained economic growth. A caveat applies to indirect effects of economic growth on family instability, which may lead to a deterioration of childhood human capital in some sectors of society.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00163341,    702 ,   37 
0,Philippe Aghion/Peter Howitt,"Department of Economics, Nuffield College, Oxford, United Kingdom/EBRD, London, United Kingdom/Department of Economics, University of Western Ontario, London, Canada/C.I.A.R., and IDEI, Toulouse, France",1996/03,Research and development in the growth process,"This paper introduces into Schumpeterian growth theory an important element of heterogeneity in the structure of innovative activity—namely, the distinction between research and development. We construct a simple model of growth to investigate how the (steady-state) rate of growth affects and is affected by the relative mix between research and development. Although we assume for simplicity that the total supply of innovative activity is given it turns out that, with one important exception, the growth rate responds to most parameter changes in the same way as in previous models where growth was determined by the total amount of innovative activity. In particular, the level of research tends to covary positively with the rate of growth, even in the extreme case where the general knowledge that underlies long-run growth is created only by secondary innovations arising from the development process. The exception concerns the effects of competition on growth. Although simpler Schumpeterian growth models implied that increased competition would reduce growth by reducing the incentive to innovate, introducing the distinction between research and development implies that this effect is likely to be reversed.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00163342,    618 ,   80 
0,Steven N. Durlauf,"Department of Economics, University of Wisconsin, Madison, USA/National Bureau of Economic Research, USA",1996/03,A theory of persistent income inequality,"This paper explores the dynamics of income inequality by studying the evolution of human capital investment and neighborhood choice for a population of families. Parents affect the conditional probability distribution of their children's income through the choice of a neighborhood in which to live. Neighborhood location affects children both through local public finance of education as well as through sociological effects. These forces combine to create incentives for wealthier families to segregate themselves into economically homogeneous neighborhoods. Economic stratification combines with strong neighborhoodwide feedback effects to transmit economic status across generations, leading to persistent income inequality.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00163343,    1982 ,   295 
0,Danny T. Quah,"Economics Department, London School of Economics, London, United Kingdom",1996/03,Convergence empirics across economies with (some) capital mobility,"This paper uses a model of growth and imperfect capital mobility across multiple economies to characterize the dynamics of (cross-country) income distributions. This allows convenient study of the convergence hypothesis, and reveals, where appropriate, polarization and clumping within subgroups. The data show little cross-country convergence; instead, the important features are persistence, immobility, and polarization, exemplified by “convergence club” or “twin peaks” dynamics.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00163344,    516 ,   217 
0,Jess Benhabib/Aldo Rustichini,"Department of Economics, New York University, New York, USA/CORE, Universite Catholique de Louvain, Louvain La Neuve, Belgium",1996/03,Social conflict and growth,"Despite the predictions of the neoclassical theory of economic growth, we observe that poor countries have invested at lower rates and have not grown faster than rich countries. To explain these empirical regularities we provide a game-theoretic model of conflict between social groups over the distribution of income. Among all possible equilibria, we concentrate on those that are on the constrained Pareto frontier. We study how the level of wealth and the degree of inequality affects growth. We show how lower wealth can lead to lower growth and even to stagnation when the incentives to domestic accumulation are weakened by redistributive considerations.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00163345,    1121 ,   182 
0,Robert J. Barro,"Department of Economics, Harvard University, Cambridge, USA",1996/06,"Institutions and growth, an introductory essay",,Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00138860,    379 ,   13 
0,Roberto Perotti,"Department of Economics, Columbia University, New York, USA",1996/06,"Growth, income distribution, and democracy: What the data say","This paper investigates the relationship between income distribution, democratic institutions, and growth. It does so by addressing three main issues: the properties and reliability of the income distribution data, the robustness of the reduced form relationships between income distribution and growth estimated so far, and the specific channels through which income distribution affects growth. The main conclusion in this regard is that there is strong empirical support for two types of explanations, linking income distribution to sociopolitical instability and to the education/fertility decision. A third channel, based on the interplay of borrowing constraints and investment in human capital, also seems to receive some support by the data, although it is probably the hardest to test with the existing data. By contrast, there appears to be less empirical support for explanations based on the effects of income distribution on fiscal policy.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00138861,    4900 ,   777 
0,Alberto Alesina/Sule Özler/Nouriel Roubini/Phillip Swagel,"Department of Economic, Harvard University, Cambridge, USA/National Bureau of Economic Research, and Center for Economic Policy Research, USA/Department of Economics, University of California at Los Angeles, Los Angeles, USA/Stern School of Business, New York University, New York, USA/National Bureau of Economic Research; and Center for Economic Policy Research, USA/Department of Economics, Northwestern University, Evanston, USA",1996/06,Political instability and economic growth,"This paper investigates the relationship between political instability and per capita GDP growth in a sample of 113 countries for the period 1950 through 1982. We define political instability as the propensity of a government collapse, and we estimate a model in which such a measure of political instability and economic growth are jointly determined. The main result of this paper is that in countries and time periods with a high propensity of government collapse, growth is significantly lower than otherwise. We also discuss the effects of different types of government changes on growth.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00138862,    6920 ,   490 
0,Philip R. Lane/Aaron Tornell,"Department of Economics, Columbia University, New York, USA/Department of Economics, Harvard University, Cambridge, USA/NBER, USA",1996/06,"Power, growth, and the voracity effect","Why is it that resource-rich countries tend to have lower growth rates than resource-poor countries? And why is it that many countries that enjoy terms-of-trade windfalls end up with lower growth rates? To explain these puzzles, we extend the neoclassical growth model by replacing the representative agent with multiple powerful groups and by introducing a new concept, the voracity effect—a more than proportional increase in redistribution in response to an increase in the raw rate of return. We show that, in an economy with powerful groups and weak institutions, the voracity effect operates if the elasticity of intertemporal substitution is high enough. That is, there exists a negative relationship between the growth rate and the raw rate of return, which is positively related to the terms of trade. We provide some empirical evidence in support of the mechanism we propose.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00138863,    923 ,   194 
