,combined
0,TI: Balance-of-Payments Theory
1,"AU: Krueger, Anne O."
2,AF: Unlisted
3,"SO: Journal of Economic Literature, 7(1), March 1969, pp. 1-26"
4,IS: 0022-0515
5,AV: http://www.aeaweb.org/jel/index.php
6,DT: Journal Article
7,PY: 1969
8,DE: Open Economy Macroeconomic Theory--Balance of Payments and Adjustment Mechanisms 4312
9,LA: English
10,UD: 199006
11,AN: 0051918
12,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
13,"TI: Money, Intermediation, and Growth"
14,"AU: Meltzer, Allan H."
15,AF: Unlisted
16,"SO: Journal of Economic Literature, 7(1), March 1969, pp. 27-56"
17,IS: 0022-0515
18,AV: http://www.aeaweb.org/jel/index.php
19,DT: Journal Article
20,PY: 1969
21,"DE: Domestic Monetary Theory, Empirical Studies Illustrating Theory 3112Macroeconomic Theory--General 0230Monetary Growth Models 1114"
22,LA: English
23,UD: 199006
24,AN: 0051919
25,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
26,TI: The American Economic Association's Publications: An Historical Perspective
27,"AU: Coats, A. W."
28,AF: Unlisted
29,"SO: Journal of Economic Literature, 7(1), March 1969, pp. 57-68"
30,IS: 0022-0515
31,AV: http://www.aeaweb.org/jel/index.php
32,DT: Journal Article
33,PY: 1969
34,DE: History of Economic Thought--Other Special Topics 0329
35,LA: English
36,UD: 199006
37,AN: 0051920
38,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
39,TI: Some Cambridge Controversies in the Theory of Capital
40,"AU: Harcourt, G. C."
41,AF: Unlisted
42,"SO: Journal of Economic Literature, 7(2), June 1969, pp. 369-405"
43,IS: 0022-0515
44,AV: http://www.aeaweb.org/jel/index.php
45,DT: Journal Article
46,PY: 1969
47,DE: Macroeconomics--Theory of Aggregate Distribution 0235
48,LA: English
49,UD: 199006
50,AN: 0051921
51,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
52,TI: The History of Economic Thought in the International Encyclopedia of the Social Sciences
53,"AU: Letiche, John M."
54,AF: Unlisted
55,"SO: Journal of Economic Literature, 7(2), June 1969, pp. 406-25"
56,IS: 0022-0515
57,AV: http://www.aeaweb.org/jel/index.php
58,DT: Journal Article
59,PY: 1969
60,DE: History of Economic Thought--General 0310History of Economic Thought--Other Special Topics 0329
61,LA: English
62,UD: 199006
63,AN: 0051922
64,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
65,TI: On Rereading Harry J. Carman's Social and Economic History of the United States
66,"AU: Goodrich, Carter"
67,AF: Unlisted
68,"SO: Journal of Economic Literature, 7(2), June 1969, pp. 426-27"
69,IS: 0022-0515
70,AV: http://www.aeaweb.org/jel/index.php
71,DT: Journal Article
72,PY: 1969
73,DE: Economic History--United States and Canada: General 0420
74,GD: U.S.
75,GR: Northern America
76,LA: English
77,UD: 199006
78,AN: 0051923
79,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
80,TI: Some Recent Developments in Applied Econometrics: Dynamic Models and Simultaneous Equation Systems
81,"AU: Wallis, Kenneth F."
82,AF: Unlisted
83,"SO: Journal of Economic Literature, 7(3), September 1969, pp. 771-96"
84,IS: 0022-0515
85,AV: http://www.aeaweb.org/jel/index.php
86,DT: Journal Article
87,PY: 1969
88,DE: Econometric and Statistical Methods and Models--General 2110
89,LA: English
90,UD: 199006
91,AN: 0051924
92,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
93,TI: Cost-Benefit Analysis and the Theory of Public Finance
94,"AU: Musgrave, Richard A."
95,AF: Unlisted
96,"SO: Journal of Economic Literature, 7(3), September 1969, pp. 797-806"
97,IS: 0022-0515
98,AV: http://www.aeaweb.org/jel/index.php
99,DT: Journal Article
100,PY: 1969
101,"DE: Welfare Theory--Allocative Efficiency including Theory of Cost-Benefit 0242Fiscal Theory, Empirical Studies Illustrating Fiscal Theory 3212"
102,LA: English
103,UD: 199006
104,AN: 0051925
105,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
106,TI: Princeton Essays in International Finance
107,"AU: Kindleberger, Charles P."
108,AF: Unlisted
109,"SO: Journal of Economic Literature, 7(3), September 1969, pp. 807-10"
110,IS: 0022-0515
111,AV: http://www.aeaweb.org/jel/index.php
112,DT: Journal Article
113,PY: 1969
114,"DE: Open Economy Macroeconomics, Exchange Rates--General 4310"
115,LA: English
116,UD: 199006
117,AN: 0051926
118,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
119,TI: Tax Incidence Theory: The Effects of Taxes on the Distribution of Income
120,"AU: Mieszkowski, Peter"
121,AF: Unlisted
122,"SO: Journal of Economic Literature, 7(4), December 1969, pp. 1103-24"
123,IS: 0022-0515
124,AV: http://www.aeaweb.org/jel/index.php
125,DT: Journal Article
126,PY: 1969
127,"DE: Consumer Economics--Living Standards, Composition of Overall Expenditures, and Empirical Consumption and Savings Studies 9211Fiscal Theory, Empirical Studies Illustrating Fiscal Theory 3212National Taxation, Revenue, and Subsidies 3230Macroeconomics--Theory of Aggregate Distribution 0235"
128,LA: English
129,UD: 199006
130,AN: 0051927
131,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
132,TI: Economists and Development: Rediscovering Old Truths
133,"AU: Enke, Stephen"
134,AF: Unlisted
135,"SO: Journal of Economic Literature, 7(4), December 1969, pp. 1125-39"
136,IS: 0022-0515
137,AV: http://www.aeaweb.org/jel/index.php
138,DT: Journal Article
139,PY: 1969
140,DE: Economic Development Models and Theories 1120
141,LA: English
142,UD: 199006
143,AN: 0051928
144,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
145,TI: Money and Wealth: A Review Article
146,"AU: Patinkin, Don"
147,AF: Unlisted
148,"SO: Journal of Economic Literature, 7(4), December 1969, pp. 1140-60"
149,IS: 0022-0515
150,AV: http://www.aeaweb.org/jel/index.php
151,DT: Journal Article
152,PY: 1969
153,"DE: Domestic Monetary Theory, Empirical Studies Illustrating Theory 3112Macroeconomic Theory--General 0230"
154,LA: English
155,UD: 199006
156,AN: 0051929
157,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
0,TI: Some Comments on the Treatment of the Problems of the Inadequate Statistics of South Asia Countries in Asian Drama: A Comment
1,"AU: Ely, J. Edward"
2,AF: Unlisted
