,index,ArticleID,Journal,PubDate,Title,Abstract,Language,Received,Accepted,Volume,Issue,Part,FirstPage,LastPage,Comments,CiteCount,Note
0,MISSING,MISSING,QJE,MISSING,The Return to Protectionism,"After decades of supporting free trade, in 2018 the United States raised import tariffs and major trade partners retaliated. We analyze the short-run impact of this return to protectionism on the U.S. economy. Import and retaliatory tariffs caused large declines in imports and exports. Prices of imports targeted by tariffs did not fall, implying complete pass-through of tariffs to duty-inclusive prices. The resulting losses to U.S. consumers and firms that buy imports was $51 billion, or 0.27% of GDP. We embed the estimated trade elasticities in a general-equilibrium model of the U.S. economy. After accounting for tariff revenue and gains to domestic producers, the aggregate real income loss was $7.2 billion, or 0.04% of GDP. Import tariffs favored sectors concentrated in politically competitive counties, and the model implies that tradeable-sector workers in heavily Republican counties were the most negatively affected due to the retaliatory tariffs. JEL Code: F1.",MISSING,MISSING,MISSING,135,1,MISSING,1,55,MISSING,15 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Cash and the Economy: Evidence from Indiaâ€™s Demonetization,"We analyze a unique episode in the history of monetary economics, the 2016 Indian â€œdemonetization.â€ This policy made 86% of cash in circulation illegal tender overnight, with new notes gradually introduced over the next several months. We present a model of demonetization where agents hold cash both to satisfy a cash-in-advance constraint and for tax evasion purposes. We test the predictions of the model in the cross-section of Indian districts using several novel data sets including: the geographic distribution of demonetized and new notes for causal inference; night light activity and employment surveys to measure economic activity including in the informal sector; debit/credit cards and e-wallet transactions data; and banking data on deposit and credit growth. Districts experiencing more severe demonetization had relative reductions in economic activity, faster adoption of alternative payment technologies, and lower bank credit growth. The cross-sectional responses cumulate to a contraction in aggregate employment and night lightsâ€“based output due to the the cash shortage of at least 2 percentage points and of bank credit of 2 percentage points in 2016Q4 relative to their counterfactual paths, effects that dissipate over the next few months. Our analysis rejects monetary neutrality using a large-scale natural experiment, something that is still rare in the vast literature on the effects of monetary policy.",MISSING,MISSING,MISSING,135,1,MISSING,57,103,MISSING,0,MISSING
0,MISSING,MISSING,QJE,MISSING,Productivity and Misallocation in General Equilibrium,"This paper develops a general theory of aggregation in inefficient economies. We provide nonparametric formulas for aggregating microeconomic shocks in economies with distortions such as taxes, markups, frictions to resource reallocation, financial frictions, and nominal rigidities. We allow for arbitrary elasticities of substitution, returns to scale, factor mobility, and input-output network linkages. We show how to separately measure changes in technical and allocative efficiency. We also show how to compute the social cost of distortions. We pursue applications focusing on firm-level markups in the United States. We find that improvement in allocative efficiency, due to the reallocation over time of market share to high-markup firms, accounts for about half of aggregate TFP growth over the period 1997â€“2015. We also find that eliminating the misallocation resulting from the large and dispersed markups estimated in the data would raise aggregate TFP by about 15%, increasing the economy-wide cost of monopoly distortions by two orders of magnitude compared with the famous 0.1% estimate by Harberger (1954). These exact numbers should be interpreted with care because the data are imperfect and require substantial imputation.",MISSING,MISSING,MISSING,135,1,MISSING,105,163,MISSING,22 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Inflation Expectations and Firm Decisions: New Causal Evidence,"We use a unique design feature of a survey of Italian firms to study the causal effect of inflation expectations on firmsâ€™ economic decisions. In the survey, a randomly chosen subset of firms is repeatedly treated with information about recent inflation whereas other firms are not. This information treatment generates exogenous variation in inflation expectations. We find that higher inflation expectations on the part of firms leads them to raise their prices, increase demand for credit, and reduce their employment and capital. However, when policy rates are constrained by the effective lower bound, demand effects are stronger, leading firms to raise their prices more and no longer reduce their employment.",MISSING,MISSING,MISSING,135,1,MISSING,165,219,MISSING,8 ,MISSING
0,MISSING,MISSING,QJE,MISSING,How Acquisitions Affect Firm Behavior and Performance: Evidence from the Dialysis Industry,"Many industries have become increasingly concentrated through mergers and acquisitions, which in health care may have important consequences for spending and outcomes. Using a rich panel of Medicare claims data for nearly one million dialysis patients, we advance the literature on the effects of mergers and acquisitions by studying the precise ways providers change their behavior following an acquisition. We base our empirical analysis on more than 1,200 acquisitions of independent dialysis facilities by large chains over a 12-year period and find that chains transfer several prominent strategies to the facilities they acquire. Most notably, acquired facilities converge to the behavior of their new parent companies by increasing patientsâ€™ doses of highly reimbursed drugs, replacing high-skill nurses with less-skilled technicians, and waitlisting fewer patients for kidney transplants. We then show that patients fare worse as a result of these changes: outcomes such as hospitalizations and mortality deteriorate, with our long panel allowing us to identify these effects from within-facility or within-patient variation around the acquisitions. Because overall Medicare spending increases at acquired facilities, mostly as a result of higher drug reimbursements, this decline in quality corresponds to a decline in value for payers. We conclude the article by considering the channels through which acquisitions produce such large changes in provider behavior and outcomes, finding that increased market power cannot explain the decline in quality. Rather, the adoption of the acquiring firmâ€™s strategies and practices drives our main results, with greater economies of scale for drug purchasing responsible for more than half of the change in profits following an acquisition.",MISSING,MISSING,MISSING,135,1,MISSING,221,267,MISSING,0,MISSING
0,MISSING,MISSING,QJE,MISSING,Are Referees and Editors in Economics Gender Neutral?,"We study the role of gender in the evaluation of economic research using submissions to four leading journals. We find that referee gender has no effect on the relative assessment of female- versus male-authored papers, suggesting that any differential biases of male referees are negligible. To determine whether referees as a whole impose different standards for female authors, we compare citations for female- and male-authored papers, holding constant referee evaluations and other characteristics. We find that female-authored papers receive about 25% more citations than observably similar male-authored papers. Editors largely follow the referees, resulting in a 1.7 percentage point lower probability of a revise and resubmit verdict for papers with female authors relative to a citation-maximizing benchmark. In their desk rejection decisions, editors treat female authors more favorably, though they still impose a higher bar than would be implied by citation maximization. We find no differences in the informativeness of female versus male referees or in the weight that editors place on the recommendations of female versus male referees. We also find no differences in editorial delays for female- versus male-authored papers.",MISSING,MISSING,MISSING,135,1,MISSING,269,327,MISSING,0,MISSING
0,MISSING,MISSING,QJE,MISSING,Wealth Taxation and Wealth Accumulation: Theory and Evidence From Denmark,"Using administrative wealth records from Denmark, we study the effects of wealth taxes on wealth accumulation. Denmark used to impose one of the worldâ€™s highest marginal tax rates on wealth, but this tax was greatly reduced starting in 1989 and later abolished. Due to the specific design of the wealth tax, the 1989 reform provides a compelling quasi-experiment for understanding behavioral responses among the wealthiest segments of the population. We find clear reduced-form effects of wealth taxes in the short and medium run, with larger effects on the very wealthy than on the moderately wealthy. We develop a simple life cycle model with utility of residual wealth (bequests) allowing us to interpret the evidence in terms of structural primitives. We calibrate the model to the quasi-experimental moments and simulate the model forward to estimate the long-run effect of wealth taxes on wealth accumulation. Our simulations show that the long-run elasticity of taxable wealth with respect to the net-of-tax return is sizable at the top of the distribution.",MISSING,MISSING,MISSING,135,1,MISSING,329,388,MISSING,0,MISSING
0,MISSING,MISSING,QJE,MISSING,Complementary Information and Learning Traps,"We develop a model of social learning from complementary information: short-lived agents sequentially choose from a large set of flexibly correlated information sources for prediction of an unknown state, and information is passed down across periods. Will the community collectively acquire the best kinds of information? Long-run outcomes fall into one of two cases: (i) efficient information aggregation, where the community eventually learns as fast as possible; (ii) â€œlearning traps,â€ where the community gets stuck observing suboptimal sources and information aggregation is inefficient. Our main results identify a simple property of the underlying informational complementarities that determines which occurs. In both regimes, we characterize which sources are observed in the long run and how often.",MISSING,MISSING,MISSING,135,1,MISSING,389,448,MISSING,1 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Diversification Through Trade,"A widely held view is that openness to international trade leads to higher income volatility, as trade increases specialization and hence exposure to sector-specific shocks. Contrary to this common wisdom, we argue that when country-wide shocks are important, openness to international trade can lower income volatility by reducing exposure to domestic shocks and allowing countries to diversify the sources of demand and supply across countries. Using a quantitative model of trade, we assess the importance of the two mechanisms (sectoral specialization and cross-country diversification) and show that in recent decades international trade has reduced economic volatility for most countries.",MISSING,MISSING,MISSING,135,1,MISSING,449,502,MISSING,33 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Measuring Aggregate Price Indices with Taste Shocks: Theory and Evidence for CES Preferences,"We develop an approach to measuring the cost of living for CES preferences that treats demand shocks as taste shocks that are equivalent to price shocks. In the presence of relative taste shocks, the Sato-Vartia price index is upward biased because an increase in the relative consumer taste for a variety lowers its taste-adjusted price and raises its expenditure share. By failing to allow for this association, the Sato-Vartia index underweights drops in taste-adjusted prices and overweights increases in taste-adjusted prices, leading to what we call a â€œtaste-shock bias.â€ We show that this bias generalizes to other invertible demand systems.",MISSING,MISSING,MISSING,135,1,MISSING,503,560,MISSING,14 ,MISSING
