index,AuthorID,AuthorName
0,1,A. Abigail Payne
1,2,A. Andrew John
2,3,A. Belloni
3,4,A. Colin Cameron
4,5,A. Joshua Strickland
5,6,A. Lans Bovenberg
6,7,A. M. Robert Taylor
7,8,Andrew Michael Spence
8,9,Ariel Pakes
9,10,A. Robert Nobay
10,11,Aanund Hylland
11,12,Aaron Roth
12,13,Aaron S. Edlin
13,14,Aaron S. Yelowitz
14,15,Aarón Tornell
15,17,Aart Kraay
16,19,Aba Schwartz
17,20,Abdul Abiad
18,21,Abel Winn
19,23,Abhijit Sengupta
20,24,Abhijit V. Banerjee
21,25,Abi Adams
22,26,Abraham Neyman
23,27,Abram Bergson
24,28,Adam Ashcraft
25,29,Adam B. Jaffe
26,30,Adam Brandenburger
27,31,Adam Guren
28,32,Adam Hale Shapiro
29,33,Adam Kalai
30,34,Adam Looney
31,35,Adam M. Rosen
32,36,Adam Ray
33,37,Adam Storeygard
34,38,Adam Szeidl
35,39,Adam Wantz
36,40,Adi Brender
37,41,Adib Bagh
38,42,Adriaan Soetevent
39,43,Adrian Bruhin
40,44,Adrian Peralta-Alva
41,45,Adriana D. Kugler
42,46,Adriana Lleras-Muney
43,47,Adrien Verdelhan
44,48,Adrienne M. Lucas
45,49,Ady Pauzner
46,50,Agar Brugiavini
47,51,Ahmed Mushfiq Mobarak
48,52,Ahmed S. Rahman
49,53,Ahuva Mu'alem
50,54,Aico van Vuuren
51,55,Ailsa Röell
52,56,Ajay Agrawal
53,57,Ajeyo Banerjee
54,58,Akhmed Akhmedov
55,59,Akira Okada
56,60,Akram Temimi
57,61,Akwasi Nti-Addae
58,62,Al H. Ringleb
59,64,Alain Cohn
60,65,Alain Trannoy
61,67,Alan B. Krueger
62,69,Alan Beggs
63,70,Alan C. Stockman
64,71,Alan Harrison
65,72,Alan Heston
66,73,Alan I. Barreca
67,74,Alan J. Auerbach
68,75,Alan J. Marcus
69,76,Alan K. Fox
70,79,Alan L. Gustman
71,80,Alan L. Olmstead
72,81,Alan M. Taylor
73,82,Alan Manning
74,83,Alan Mathios
75,84,Alan Morrison
76,85,Alan R. Rogers
77,86,Alan S. Blinder
78,87,Alan S. Frankel
79,88,Alan Schwartz
80,89,Alan Slivinski
81,91,Alan T. Sorensen
82,92,Alan V. Deardorff
83,93,Albert Breton
84,94,Albert Marcet
85,95,Albert N. Link
86,96,Albert Saiz
87,97,Alberto Abadie
88,98,Alberto Alesina
89,99,Alberto Bennardo
90,100,Alberto Bisin
91,101,Alberto Cavallo
92,102,Alberto Dávila
93,103,Alberto F. Ades
94,104,Alberto Giovannini
95,105,Alberto Martin
96,106,Alberto Trejos
97,107,Aldo Rustichini
98,108,Aleh Tsyvinski
99,109,Alejandro Hernández D.
100,110,Alejandro Jofre
101,111,Alejandro Justiniano
102,112,Alejandro M. Manelli
103,113,Aleksander Berentsen
104,114,Alessandra Casella
105,115,Alessandra Fogli
106,116,Alessandra Voena
107,117,Alessandro Bonatti
108,118,Alessandro Citanna
109,119,Alessandro Gavazza
110,120,Alessandro Lizzeri
111,121,Alessandro Pavan
112,122,Alessandro Riboni
113,123,Alessandro Tarozzi
114,124,Alex A. Himonas
115,125,Alex Cukierman
116,126,Alex Gershkov
117,127,Alex R. Horenstein
118,128,Alex Rees-Jones
119,129,Alex Tabarrok
120,130,Alexander David
121,131,Alexander F. Wagner
122,132,Alexander Frankel
123,133,Alexander Galetovic
124,134,Alexander Karaivanov
125,135,Alexander Klein
126,136,Alexander L. Brown
127,137,Alexander L. Wolman
128,138,Alexander Ljungqvist
129,139,Alexander Ludwig
130,140,Alexander Monge-Naranjo
131,141,Alexander S. Gorbenko
132,142,Alexander Strand
133,143,Alexander W. Cappelen
134,144,Alexander Westkamp
135,145,Alexander Wolitzky
136,146,Alexandra Killewald
137,147,Alexandre Mas
138,148,Alexandre K. Skiba
139,149,Alexandru Nichifor
140,150,Alexei Onatski
141,151,Alexey Kushnir
142,152,Alexis Jacquemin
143,153,Alfonso Flores-Lagunes
144,154,Alfonso Irarrazabal
145,155,Alfred Galichon
146,156,Ali Hortaçsu
147,157,Ali Shourideh
148,158,Ali Yurukoglu
149,159,Alicia H. Munnell
150,160,Alireza Tahbaz-Salehi
151,161,Alisdair McKay
152,162,Alison P. Hagy
153,163,Alistair J. Wilson
154,164,Alistair Munro
155,165,Alix Peterson Zwane
156,166,Alla Lileeva
157,167,Allan A. Zebedee
158,168,Allan Collard-Wexler
159,169,Allan Drazen
160,170,Allan G. Timmermann
161,171,Allan H. Meltzer
162,172,Allan W. Kleidon
163,173,Allan Zelenitz
164,174,Allen Head
165,175,Allen N. Berger
166,176,Allen R. Sanderson
167,178,Alon Brav
168,179,Aloysius Siow
169,180,Alp E. Atakan
170,181,Alp Simsek
171,182,Alpo Willman
172,183,Alvaro J. Name-Correa
173,184,Alvaro Rodriguez
174,185,Alvaro Sandroni
175,186,Alvin D. Murphy
176,187,Alvin E. Roth
177,188,Alvin L. Marty
178,190,Alvin Ulrich
179,191,Alwyn Young
180,192,Alícia Adserà
181,193,Amalia R. Miller
182,194,Amanda E. Kowalski
183,195,Amanda Friedenberg
184,196,Amanda Gosling
185,197,Amanda Pallais
186,198,Amanda Starc
187,199,Amartya Lahiri
188,201,Amil Petrin
189,202,Amir E. Khandani
190,203,Amir Sufi
191,204,Amir Yaron
192,205,Amit Gandhi
193,207,Amit Kumar Khandelwal
194,208,Amit Seru
195,209,Amitabh Chandra
196,210,Amnon Rapoport
197,211,Amos Tversky
198,212,Amparo Urbano
199,213,Amrita Dhillon
200,214,Amy Ellen Schwartz
201,215,Amy Finkelstein
202,216,Amy K. Dittmar
203,217,Amy L. Bertin
204,218,Ana Castañeda
205,219,Ana Cecília Fieler
206,220,Ana Fostel
207,221,Ana L. Revenga
208,222,Ana M. Ferrer
209,223,Anand V. Swamy
210,224,Ananth Ramanarayanan
211,225,Ananth Seshadri
212,226,Anastasios Xepapadeas
213,227,Anat Bracha
214,228,Anat R. Admati
215,229,Anders Akerman
216,230,Anders Björklund
217,232,Anders Poulsen
218,233,Anders Rahbek
219,234,Anders Rygh Swensen
220,235,Andrea Attar
221,236,Andrea Frazzini
222,237,Andrea Galeotti
223,238,Andrea Generale
224,239,Andrea Ichino
225,240,Andrea Isoni
226,241,Andrea L. Eisfeldt
227,242,Andrea Moro
228,243,Andrea Prat
229,244,Andrea Shepard
230,245,Andrea Tambalotti
231,246,Andrea Weber
232,247,Andrea Wilson
233,248,Andreas Blume
234,249,Andreas Fuster
235,250,Andreas Herrmann
236,251,Andreas Hornstein
237,252,Andreas I. Mueller
238,253,Andreas Kontoleon
239,254,Andreas Lange
240,255,Andreas Madestam
241,256,Andreas Moxnes
242,257,Andreas Park
243,259,Andreas Ravndal Kostol
244,259,Andreas Ravndal Kostøl
245,260,Andreas Roider
246,261,Andrei A. Levchenko
247,262,Andrei Kirilenko
248,263,Andrei Shleifer
249,264,Andres Erosa
250,266,Andres Santos
251,268,Andreu Mas-Colell
252,269,Andrew A. Samwick
253,271,Andrew Atkeson
254,272,Andrew B. Abel
255,273,Andrew B. Bernard
