index,InstID,ArticleID,AuthorID
0,3,2795,191
1,5,2796,489
2,494,2796,3953
3,2,2796,3953
4,13,2796,3953
5,588,2797,162
6,30,2797,1232
7,412,2798,4929
8,1,2799,1329
9,504,2799,1329
10,170,2799,1718
11,504,2799,1718
12,259,2799,1718
13,504,2799,4069
14,337,2799,4069
15,693,2800,3003
16,693,2800,3898
17,494,2801,3714
18,15,2801,3714
19,494,2801,4508
20,3,2801,4508
21,3,2802,2457
22,542,2802,2457
23,9,2802,5456
24,213,2803,179
25,4,2804,2868
26,14,2804,3219
27,16,2805,2039
28,304,2805,2039
29,13,2806,2436
30,617,2807,3666
31,23,2808,983
32,44,2809,2434
33,3,2810,3379
34,5,2810,3379
35,5,2810,5673
36,3,2810,5673
37,3,2811,1875
38,3,2811,5766
39,3,2812,316
40,4,2812,1983
41,13,2813,3188
42,13,2813,3978
43,11,2813,4518
44,425,2814,1714
45,340,2814,1714
46,14,2814,6041
47,617,2815,5669
48,101,2815,5669
49,495,2816,5963
50,652,2817,4095
51,1,2817,4095
52,1,2817,4844
53,494,2817,4844
54,101,2818,1179
55,617,2818,1179
56,101,2818,4010
57,617,2818,4010
58,22,2819,1467
59,200,2819,5898
60,25,2820,784
61,25,2820,2379
62,25,2820,5329
63,357,2821,565
64,396,2821,3605
65,21,2822,356
66,338,2822,4473
67,504,2822,4473
68,15,2822,4473
69,4,2823,882
70,4,2823,6507
71,1,2824,4479
72,17,2825,3744
73,578,2825,5254
74,2,2826,1059
75,3,2827,754
76,18,2828,734
77,40,2828,3830
78,2,2829,263
79,2,2829,1750
80,2,2829,4675
81,3,2829,4975
82,12,2830,2419
83,8,2831,5935
84,75,2832,434
85,156,2832,5144
86,463,2833,4650
87,15,2833,5131
88,412,2833,6140
89,38,2833,6140
90,269,2834,6259
91,257,2834,6259
92,22,2835,2995
93,51,2836,269
94,494,2836,269
95,51,2836,4690
96,341,2837,414
97,341,2837,1653
98,57,2838,2976
99,309,2838,2976
100,15,2838,5660
101,79,2839,209
102,65,2839,5356
103,98,2840,2788
104,153,2840,3068
105,98,2840,5725
106,494,2841,2820
107,617,2841,2820
108,3,2841,2820
109,2,2841,2916
110,494,2841,2916
111,169,2842,1442
112,17,2842,2361
113,494,2843,337
114,9,2843,337
115,494,2843,4142
116,9,2843,4142
117,86,2844,2485
118,49,2844,5671
119,44,2845,1942
120,596,2846,2674
121,5,2846,4080
122,175,2846,4408
123,494,2847,1233
124,2,2847,1233
125,2,2847,1484
126,494,2847,1484
127,2,2847,2380
128,494,2848,798
129,26,2848,798
130,1,2849,1133
131,1,2849,3137
132,44,2850,4659
133,150,2850,4817
134,21,2851,1332
135,494,2851,1332
136,24,2851,2198
137,17,2852,279
138,8,2852,2668
139,8,2852,3752
140,462,2852,4633
141,40,2853,4544
142,527,2854,572
143,501,2854,572
144,498,2854,572
145,264,2854,3105
146,3,2854,4322
147,157,2855,5113
148,457,2856,3115
149,457,2856,5952
150,33,2857,1021
151,26,2857,2950
152,28,2857,5837
153,672,2858,2721
154,712,2858,4998
155,14,2858,5457
156,712,2858,6294
157,242,2859,3044
158,25,2859,3901
159,236,2859,5326
160,242,2859,5444
161,1,2860,1133
162,4,2860,4956
163,217,2861,264
164,48,2861,4769
165,485,2861,4769
166,45,2861,5629
167,456,2862,6052
168,169,2863,7032
169,475,2864,3087
170,1,2864,3087
171,122,2865,1559
172,198,2865,4781
173,14,2866,1774
174,494,2866,1774
175,494,2866,3192
176,21,2866,3192
177,494,2867,1253
178,27,2867,1253
179,158,2867,5920
180,10,2868,1475
181,6,2869,2882
182,43,2869,3436
183,114,2870,985
184,249,2871,675
185,21,2871,842
186,265,2871,4602
187,10,2872,14
188,494,2872,14
189,1,2872,2940
190,494,2872,2940
191,337,2873,3453
192,67,2874,4902
193,57,2875,922
194,617,2875,3890
195,8,2876,3752
196,14,2877,4916
197,494,2878,961
198,2,2878,961
199,5,2879,1492
200,6,2880,2882
201,2,2881,4904
202,3,2882,754
203,115,2883,1188
204,449,2884,1779
205,130,2884,2296
206,3,2885,5289
207,5,2885,5289
208,169,2886,2867
209,208,2886,2867
210,617,2886,4255
211,101,2886,4255
212,617,2887,2813
213,14,2887,5556
214,494,2887,5556
215,46,2888,187
216,425,2888,6025
217,101,2889,501
218,494,2890,5672
219,5,2890,5672
220,336,2891,1664
221,252,2892,2218
222,15,2892,2218
223,477,2892,3083
224,252,2892,3083
225,8,2893,3442
226,101,2893,3442
227,617,2893,3442
228,8,2893,5660
229,15,2893,5660
230,8,2894,3247
231,101,2894,4010
232,16,2895,1422
233,8,2895,1807
234,175,2896,2906
235,175,2896,3662
236,617,2897,664
237,44,2897,664
238,44,2897,5841
239,99,2898,2002
240,76,2898,2481
241,76,2898,5067
242,62,2898,5474
243,128,2899,1414
244,46,2900,2574
245,513,2900,3393
246,48,2900,4865
247,16,2901,607
248,430,2901,3828
249,8,2901,3828
250,1,2902,1133
251,252,2902,1711
252,4,2903,470
253,540,2903,1525
254,412,2903,1525
255,4,2903,1888
256,43,2904,1177
257,43,2904,5793
258,34,2905,816
259,23,2905,824
260,45,2905,4740
261,169,2906,10
262,206,2906,1142
263,206,2906,4352
264,2,2907,1484
265,494,2907,1484
266,494,2907,1996
267,1,2907,1996
268,3,2908,1434
269,617,2909,1156
270,617,2909,2920
271,617,2910,3810
272,617,2910,5402
273,175,2911,899
274,175,2911,4673
275,494,2912,1870
276,8,2912,1870
277,504,2912,2443
278,172,2912,2443
279,263,2912,2443
280,2,2913,1399
281,3,2914,754
282,24,2915,5917
283,16,2916,1422
284,8,2916,1807
285,13,2917,1464
286,412,2917,1464
287,169,2917,4048
288,527,2918,572
289,501,2918,572
290,498,2918,572
291,3,2918,4322
292,674,2919,2702
293,617,2919,2820
294,3,2919,2820
295,494,2919,2820
296,257,2920,2077
297,5,2920,3427
298,18,2920,6066
299,10,2921,379
300,10,2921,4297
301,9,2922,422
302,11,2922,2006
303,15,2923,2673
304,48,2923,4197
305,15,2923,5131
306,5,2924,4441
307,19,2925,2400
308,94,2925,2400
309,94,2925,2507
310,68,2925,4001
311,504,2926,3306
312,338,2926,3306
313,4,2927,4386
314,252,2927,6007
315,623,2927,6007
316,3,2928,462
317,542,2928,462
318,17,2929,2361
319,588,2929,4721
320,213,2930,3509
321,213,2930,6021
322,3,2931,5953
323,3,2932,5147
324,527,2933,572
325,504,2933,572
326,498,2933,572
327,527,2933,6653
328,504,2933,6653
329,249,2933,6653
330,4,2934,470
331,4,2934,1715
332,4,2934,1888
333,217,2935,5829
334,199,2936,5378
335,32,2937,519
336,81,2938,1249
337,88,2938,4868
338,502,2939,3130
339,170,2939,3130
340,38,2939,5106
341,494,2939,5106
342,175,2940,4628
343,277,2940,5369
344,175,2940,5369
345,40,2941,657
346,3,2941,1291
347,494,2941,1291
348,171,2942,3253
349,21,2942,5489
350,14,2943,6253
351,8,2944,4718
352,8,2944,4826
353,29,2944,5431
354,20,2945,91
355,236,2946,5662
356,186,2946,5662
357,344,2946,6282
358,527,2947,2386
359,249,2947,2386
360,23,2947,5692
361,585,2948,5729
362,45,2948,5779
363,3,2949,3556
364,154,2950,1320
365,494,2950,3795
366,21,2950,3795
367,494,2950,5944
368,21,2950,5944
369,617,2951,2789
370,38,2951,5325
371,169,2952,4766
372,16,2952,4766
373,213,2953,2111
374,457,2953,5996
375,494,2954,754
376,3,2954,754
377,9,2954,6013
378,252,2954,6013
379,494,2954,6013
380,24,2955,2198
381,13,2956,1149
382,586,2957,1008
383,518,2957,1037
384,518,2957,3158
385,578,2957,3892
386,18,2957,3892
387,1,2958,2940
388,494,2958,2940
389,5,2959,331
390,13,2960,3298
391,178,2961,3475
392,617,2961,3475
393,514,2962,2045
394,255,2962,2045
395,504,2962,2045
396,504,2962,2077
397,257,2962,2077
398,504,2962,5789
399,338,2962,5789
400,494,2962,5789
401,617,2963,1816
402,617,2963,5913
403,101,2963,5913
404,457,2964,3115
405,38,2964,6102
406,1,2965,24
407,283,2965,1324
408,16,2965,1324
409,38,2965,1359
410,8,2965,3146
411,128,2966,60
412,29,2966,2871
413,78,2967,2950
414,26,2967,2950
415,8,2968,2849
416,8,2968,4224
417,8,2968,4549
418,494,2968,4549
419,504,2969,1976
420,252,2969,1976
421,509,2969,1976
422,249,2969,1976
423,55,2970,4543
424,230,2971,1020
425,16,2971,5485
426,44,2972,3919
427,44,2972,5419
428,3,2973,1434
429,494,2973,1434
430,3,2973,4684
431,494,2973,4684
432,2,2974,3515
433,494,2974,3515
434,2,2974,5502
435,494,2974,5502
436,6,2975,5437
437,207,2976,946
438,202,2976,4056
439,40,2977,657
440,5,2978,2949
441,494,2978,5538
442,1,2978,5538
443,3,2979,2457
444,542,2979,2457
445,9,2979,5456
446,494,2980,1767
447,504,2980,1767
448,2,2980,1767
449,24,2980,5934
450,494,2981,2605
451,10,2981,2605
452,44,2981,5419
453,17,2982,2361
454,504,2982,2391
455,325,2982,2391
456,269,2982,2391
457,213,2983,2111
458,3,2984,7032
459,24,2985,5672
460,494,2985,5672
461,338,2986,4474
462,217,2987,429
463,32,2988,1998
464,15,2988,3474
465,617,2989,452
466,159,2989,2029
467,3,2990,2457
468,542,2990,2457
469,504,2991,1968
470,186,2991,1968
471,512,2991,3132
472,192,2991,3132
473,14,2992,3038
474,3,2992,5747
475,494,2992,5747
476,42,2993,3225
477,14,2994,3855
478,494,2994,3855
479,494,2994,5839
480,20,2994,5839
481,617,2995,1742
482,21,2995,1742
483,617,2995,4414
