index,NberID,ArticleID
0,w5666,2796
1,w5757,2817
2,w6634,2836
3,w4995,2841
4,w5941,2843
5,w5881,2847
6,w5394,2848
7,w6822,2851
8,w5585,2866
9,w6088,2867
10,w6041,2872
11,w7126,2878
12,w5419,2890
13,w4840,2907
14,w4858,2912
15,w5489,2919
16,w6048,2939
17,w7122,2941
18,w6865,2950
19,w5504,2954
20,w5866,2958
21,w7449,2968
22,w7430,2973
23,w7051,2974
24,w7185,2978
25,w6047,2981
26,w7240,2985
27,w6689,2998
28,w7967,2999
29,w6758,3002
30,w6577,3010
31,w7871,3011
32,w7317,3012
33,w6593,3016
34,w6529,3018
35,w7996,3025
36,w8746,3026
37,w6567,3032
38,w7527,3036
39,w8405,3038
40,w8896,3040
41,w7804,3042
42,w7805,3043
43,w7815,3046
44,w8484,3051
45,w7984,3059
46,w7734,3064
47,w8302,3065
48,w8697,3068
49,w7353,3069
50,w8462,3072
51,w7034,3075
52,w7944,3077
53,w7111,3078
54,w9208,3084
55,w6007,3089
56,w9314,3090
57,w9188,3093
58,w9094,3097
59,w8782,3098
60,w8045,3101
61,w6481,3103
62,w8547,3112
63,w8464,3114
64,w7859,3115
65,w7906,3116
66,w8551,3117
67,w9524,3120
68,w9013,3123
69,w10055,3125
70,w8030,3127
71,w10132,3130
72,w9069,3136
73,w9023,3139
74,w8819,3140
75,w8311,3142
76,w7978,3145
77,w9275,3146
78,w7983,3147
79,w10501,3150
80,w7831,3151
81,w8403,3153
82,w9538,3157
83,w6826,3158
84,w9242,3160
85,w8598,3161
86,w10723,3166
87,w10986,3174
88,w8722,3176
89,w9492,3179
90,w9889,3180
91,w10307,3186
92,w10278,3190
93,w11616,3191
94,w10976,3194
95,w11664,3195
96,w10792,3199
97,w9767,3209
98,w10260,3213
99,w10056,3220
100,w11405,3222
101,w10734,3228
102,w10811,3231
103,w12894,3233
104,w5378,3234
105,w5234,3235
106,w5429,3238
107,w11753,3243
108,w11938,3249
109,w11155,3252
110,w13236,3254
111,w12030,3258
112,w12312,3261
113,w13694,3262
114,w11071,3263
115,w11476,3273
116,w13967,3274
117,w11971,3275
118,w13291,3280
119,w12081,3281
120,w11832,3283
121,w13121,3287
122,w13661,3288
123,w11019,3294
124,w12838,3295
125,w13310,3299
126,w12606,3301
127,w12938,3302
128,w12263,3304
129,w13719,3307
130,w13995,3311
131,w13241,3313
132,w12986,3319
133,w15149,3329
134,w13776,3334
135,w13326,3337
136,w15923,3339
137,w14672,3340
138,w14052,3343
139,w14255,3345
140,w14214,3347
141,w14526,3350
142,w14030,3355
143,w13008,3356
144,w14942,3360
145,w14905,3361
146,w15093,3362
147,w16460,3371
148,w17765,3375
149,w16119,3378
150,w14586,3381
151,w13646,3383
152,w12881,3384
153,w16219,3385
154,w16994,3390
155,w15646,3393
156,w16315,3394
157,w17500,3401
158,w17335,3403
159,w14505,3405
160,w14737,3406
161,w16213,3408
162,w15602,3409
163,w15604,3412
164,w16400,3414
165,w18017,3421
166,w15563,3424
167,w17510,3426
168,w18360,3429
169,w18151,3431
170,w13483,3433
171,w17680,3437
172,w15957,3440
173,w18035,3445
174,w18125,3446
175,w18011,3447
176,w17175,3457
177,w19323,3462
178,w17936,3464
179,w16579,9273
180,w10457,3469
181,w9721,3471
182,w11018,3472
183,w10720,3473
184,w10198,3475
185,w9462,3476
186,w10251,3477
187,w10552,3478
188,w11004,3480
