index,ArticleID,StatName,StatValue
0,1,sent_count,13.0
1,1,dalechall_score,9.941304182225542
2,1,notdalechall_count,72.0
3,1,fleschkincaid_score,9.034660194174759
4,1,sybl_count,322.0
5,1,smog_score,11.20814326018867
6,1,gunningfog_score,11.387005227781927
7,1,char_count,1061.0
8,1,word_count,206.0
9,1,flesch_score,58.51231889469753
10,1,polysyblword_count,26.0
11,2,sent_count,5.0
12,2,dalechall_score,11.373700714285713
13,2,notdalechall_count,47.0
14,2,fleschkincaid_score,13.585285714285716
15,2,sybl_count,194.0
16,2,smog_score,15.6451
17,2,gunningfog_score,17.53142857142857
18,2,char_count,628.0
19,2,word_count,112.0
20,2,flesch_score,37.55971428571431
21,2,polysyblword_count,24.0
22,3,sent_count,4.0
23,3,dalechall_score,12.047086046511627
24,3,notdalechall_count,40.0
25,3,fleschkincaid_score,14.748488372093023
26,3,sybl_count,160.0
27,3,smog_score,17.122413403193683
28,3,gunningfog_score,19.76279069767442
29,3,char_count,517.0
30,3,word_count,86.0
31,3,flesch_score,27.61715116279072
32,3,polysyblword_count,24.0
33,4,sent_count,6.0
34,4,dalechall_score,11.081648717948717
35,4,notdalechall_count,48.0
36,4,fleschkincaid_score,12.690213675213677
37,4,sybl_count,205.0
38,4,smog_score,14.790194502661404
39,4,gunningfog_score,16.347008547008546
40,4,char_count,669.0
41,4,word_count,117.0
42,4,flesch_score,38.81173076923079
43,4,polysyblword_count,25.0
44,5,sent_count,7.0
45,5,dalechall_score,9.6459457925636
46,5,notdalechall_count,46.0
47,5,fleschkincaid_score,12.668943248532292
48,5,sybl_count,249.0
49,5,smog_score,14.955608360458719
50,5,gunningfog_score,16.562035225048927
51,5,char_count,823.0
52,5,word_count,146.0
53,5,flesch_score,41.38143835616441
54,5,polysyblword_count,30.0
55,6,sent_count,4.0
56,6,dalechall_score,12.779317857142857
57,6,notdalechall_count,55.0
58,6,fleschkincaid_score,16.7175
59,6,sybl_count,203.0
60,6,smog_score,18.511140095513987
61,6,gunningfog_score,21.55714285714286
62,6,char_count,668.0
63,6,word_count,112.0
64,6,flesch_score,25.077500000000043
65,6,polysyblword_count,29.0
66,7,sent_count,4.0
67,7,dalechall_score,12.139899999999999
68,7,notdalechall_count,46.0
69,7,fleschkincaid_score,16.698
70,7,sybl_count,191.0
71,7,smog_score,18.243605946275583
72,7,gunningfog_score,21.200000000000003
73,7,char_count,601.0
74,7,word_count,100.0
75,7,flesch_score,19.874000000000024
76,7,polysyblword_count,28.0
