index,DOI,ArticleID,Source
0,10.2307/2999616,1,JSTOR
1,10.2307/2999617,2,JSTOR
2,10.2307/2999618,3,JSTOR
3,10.2307/2999619,4,JSTOR
4,10.2307/2999620,5,JSTOR
5,10.2307/2999621,6,JSTOR
6,10.2307/2999630,7,JSTOR
7,10.2307/2999631,8,JSTOR
8,10.2307/2999632,9,JSTOR
9,10.2307/2999633,10,JSTOR
10,10.2307/2999634,11,JSTOR
11,10.2307/2999573,12,JSTOR
12,10.2307/2999574,13,JSTOR
13,10.2307/2999575,14,JSTOR
14,10.2307/2999576,15,JSTOR
15,10.2307/2999577,16,JSTOR
16,10.2307/2998573,17,JSTOR
17,10.2307/2998574,18,JSTOR
18,10.2307/2998575,19,JSTOR
19,10.2307/2998576,20,JSTOR
20,10.2307/2998577,21,JSTOR
21,10.2307/2998578,22,JSTOR
22,10.2307/2998579,23,JSTOR
23,10.2307/2998558,24,JSTOR
24,10.2307/2998559,25,JSTOR
25,10.2307/2998560,26,JSTOR
26,10.2307/2998561,27,JSTOR
27,10.2307/2998562,28,JSTOR
28,10.2307/2998563,29,JSTOR
29,10.2307/2998564,30,JSTOR
30,10.2307/2998565,31,JSTOR
31,10.2307/2998539,32,JSTOR
32,10.2307/2998540,33,JSTOR
33,10.2307/2998541,34,JSTOR
34,10.2307/2998542,35,JSTOR
35,10.2307/2998543,36,JSTOR
36,10.2307/2171736,37,JSTOR
37,10.2307/2171737,38,JSTOR
38,10.2307/2171738,39,JSTOR
39,10.2307/2171739,40,JSTOR
40,10.2307/2171740,41,JSTOR
41,10.2307/2171741,42,JSTOR
42,10.2307/2171742,43,JSTOR
43,10.2307/2171877,44,JSTOR
44,10.2307/2171878,45,JSTOR
45,10.2307/2171879,46,JSTOR
46,10.2307/2171880,47,JSTOR
47,10.2307/2171881,48,JSTOR
48,10.2307/2171882,49,JSTOR
49,10.2307/2171883,50,JSTOR
50,10.2307/2171939,51,JSTOR
51,10.2307/2171940,52,JSTOR
52,10.2307/2171941,53,JSTOR
53,10.2307/2171942,54,JSTOR
54,10.2307/2171943,55,JSTOR
55,10.2307/2171944,56,JSTOR
56,10.2307/2171945,57,JSTOR
57,10.2307/2171751,58,JSTOR
58,10.2307/2171752,59,JSTOR
59,10.2307/2171753,60,JSTOR
60,10.2307/2171754,61,JSTOR
61,10.2307/2171755,62,JSTOR
62,10.2307/2171756,63,JSTOR
63,10.2307/2171757,64,JSTOR
64,10.2307/2171893,65,JSTOR
65,10.2307/2171894,66,JSTOR
66,10.2307/2171895,67,JSTOR
67,10.2307/2171896,68,JSTOR
68,10.2307/2171811,69,JSTOR
69,10.2307/2171812,70,JSTOR
70,10.2307/2171813,71,JSTOR
71,10.2307/2171814,72,JSTOR
72,10.2307/2171815,73,JSTOR
73,10.2307/2171816,74,JSTOR
74,10.2307/2171830,75,JSTOR
75,10.2307/2171831,76,JSTOR
76,10.2307/2171832,77,JSTOR
77,10.2307/2171833,78,JSTOR
78,10.2307/2171834,79,JSTOR
79,10.2307/2171835,80,JSTOR
80,10.2307/2171836,81,JSTOR
81,10.2307/2171837,82,JSTOR
82,10.2307/2171838,83,JSTOR
83,10.2307/2171954,84,JSTOR
84,10.2307/2171955,85,JSTOR
85,10.2307/2171956,86,JSTOR
86,10.2307/2171957,87,JSTOR
87,10.2307/2171958,88,JSTOR
88,10.2307/2171959,89,JSTOR
89,10.2307/2171960,90,JSTOR
90,10.2307/2171961,91,JSTOR
91,10.2307/2171962,92,JSTOR
92,10.2307/2171845,93,JSTOR
93,10.2307/2171846,94,JSTOR
94,10.2307/2171847,95,JSTOR
95,10.2307/2171848,96,JSTOR
96,10.2307/2171849,97,JSTOR
97,10.2307/2171850,98,JSTOR
98,10.2307/2171851,99,JSTOR
99,10.2307/2171852,100,JSTOR
100,10.2307/2171860,101,JSTOR
101,10.2307/2171861,102,JSTOR
102,10.2307/2171862,103,JSTOR
103,10.2307/2171863,104,JSTOR
104,10.2307/2171864,105,JSTOR
105,10.2307/2171865,106,JSTOR
106,10.2307/2171783,107,JSTOR
107,10.2307/2171784,108,JSTOR
