index,InstID,InstName
0,649,AT&T
1,334,Aalto U
2,523,Academia Sinica
3,419,Academic College Tel Aviv-Yafo
4,493,African School of Economics
5,261,Université de la Mediterranee
6,542,American Bar Foundation
7,534,American Enterprise Institute
8,121,American University
9,147,Amherst College
10,651,"Analysis Group, Inc."
11,68,Arizona State University
12,408,Athens University of Economics and Business
13,81,Auburn University
14,236,Australian National University
15,512,Institute of Economic Analysis
16,389,BI Norwegian Business School
17,673,BNP Paribas
18,521,The Bureau for Research and Economic Analysis of Development
19,641,Robert W. Baird & Company
20,579,Bank for International Settlements
21,632,Bank of Belgium
22,626,Bank of Canada
23,625,Central Bank of Chile
24,623,Bank of England
25,622,Bank of Finland
26,633,Bank of India
27,619,Bank of Israel
28,624,Bank of Italy
29,618,Bank of Japan
30,630,Bank of Mexico
31,631,Norges Bank
32,629,Bank of Portugal
33,627,Banco de España
34,620,Sveriges Riksbank
35,628,Bank of Switzerland
36,621,Central Bank of Turkey
37,415,Bar-Ilan University
38,248,"Graduate School of Economics, Barcelona"
39,549,Barcelona Insitute of Economics
40,163,Bard College
41,143,Baylor U
42,646,Bell Laboratories
43,418,Ben-Gurion University of the Negev
44,113,Berea College
45,356,"International Institute of Management, Berlin"
46,362,Bern U
47,366,Bielefel University
48,407,Bilkent University
49,535,Gates Foundation
50,135,Black Hills State University
51,255,Innocenzo Gasparini Institute for Economic Research
52,59,Boston College
53,38,Boston U
54,125,Bowling Green State University
55,398,Boğaziçi University
56,82,Brandeis U
57,83,Brigham Young U
58,218,Brock University
59,495,Brookings
60,17,Brown University
61,207,Brunel U London
62,541,Centro de Altísimos Estudios Ríos Pérez
63,506,Center for Economic and Financial Research
64,553,Centre for Microdata Methods and Practice
65,520,Centre d'Études Prospectives et d'Informations Internationales
66,504,Centre for Economic and Policy Research
67,503,CEPREMAP
68,551,"Centre for Population, Poverty and Public Policy Studies"
69,393,CERGE-EI
70,514,Center for Economic Studies–IFO
71,577,Centre for Macroeconomics
72,522,CGIAR
73,507,CIDE
74,540,CIAR
75,562,CIRANO
76,563,Centre intervniversitaire de recherche en économie quantitative
77,561,"Centre Interuniversitataire sur le Risque, les Politiques Économiques et l'Emploi"
78,527,Centre national de la recherche scientifique
79,498,Centre de Recherche en Economic et Statistique
80,555,CSEF
81,512,Institut D'Analisi Economica
82,23,California Institute of Technology
83,84,California Polytechnic State U
84,126,"California State University, Fullerton"
85,652,Capital Guidance
86,202,Cardiff U
87,369,Carl von Ossietzky U Oldenburg
88,220,Carleton University
89,21,Carnegie-Mellon University
90,53,Case Western Reserve U
91,196,Cass Business School
92,277,Catholic U Leuven
93,309,Catholic U Portugal
94,312,Catholic U Sacred Heart
95,258,Center for Monetary and Financial Studies
96,531,Center for Naval Analyses
97,254,Central European U
98,468,Central University of Finance and Economics
99,490,Centro de Investigacion y Docencia Economicas
100,306,Cergy-Pontoise University
101,108,Chapman U
102,292,Charles III University of Madrid
103,654,Charles River Associates
104,377,Charles University in Prague
105,467,Cheung Kong Graduate School of Business
106,465,China Europe International Business School
107,543,Chung-Hua Institution for Economic Research
108,670,Citigroup
109,422,City University of Hong Kong
110,196,City University London
111,66,City College of New York
112,47,KGI
113,87,Clemson University
114,127,Colgate University
115,420,The College of Management
116,109,College of William and Mary
117,560,Collegium Helveticum
118,63,Colorado State University
119,9,Columbia Graduate School of Business
120,638,"Lexecon, Inc."
121,224,Concordia U
122,390,Centre for Economic and Business Research
123,19,Cornell University
124,653,Cornerstone OnDemand
125,665,Cornerstone Research
126,685,Ctrip
127,566,Czech Academy of Sciences
128,499,DIW Berlin
129,51,Dartmouth College
130,131,Dickinson College
131,442,Dongguk University
132,455,Donghua University
133,474,Doshisha University
134,112,Drexel U
135,24,Duke U
136,194,Durham U
137,573,EABCN
138,582,European Bank for Reconstruction and Development
139,548,Ecare
140,256,EDHEC Business School
141,386,ESMT European School of Management & Technology
142,394,ETH Zürich
143,557,EUROEQua
144,98,East Carolina U
145,141,Eastern Michigan University
146,496,Ente “Luigi Einaudi
147,78,Emory U
148,351,Erasmus University
149,672,Ernst & Young
150,616,European Central Bank
151,546,European Corporate Governance Institute
152,263,European University Institute
153,570,FEEM
154,576,Falk Institute
155,69,FL International U
156,72,Florida State U
157,526,"Fund for Scientific Research-Flanders, Vlaanderen"
158,134,Fordham University
159,387,Frankfurt School of Finance and Management
160,355,Free U Berlin
161,472,Fudan U
162,565,Geneva Finance Research Institute
163,554,GREQAM
164,58,George Mason U
165,57,Trachtenberg School of Public Policy
166,52,Georgetown U
167,77,GA Institute of Technology
168,76,GA State U
169,485,Fundação Getulio Vargas
170,361,Goethe U
171,644,Goldman-Sachs
172,656,Google
173,251,IHEID
174,321,Ecole des Hautes Etudes Commerciales
175,414,Haifa U
176,129,Hamilton College
177,2,Harvard
178,411,HUJI
179,208,Heriot-Watt U
180,667,Highbridge Capital Management
181,448,Hitotsubashi University
182,444,Hong Kong Polytechnic University
183,449,Hong Kong U Science & Technology
184,359,Humboldt U
185,545,Hungarian Academy of Sciences
186,556,ICER
187,648,ICF International
188,564,Institucio Catalana de Recerca i Estudis Avancats
189,421,Interdisciplinary Center Herzliya
190,558,IDEP
191,510,Institute for Evaluation of Labour Market and Education Policy
192,524,Institute of Fiscal Studies
193,326,IMDEA
194,581,IMF
195,567,INED
196,502,INRA
197,491,National Institute of Statistics and Applied Economics
198,265,Institut Européen d'Administration des Affaires
199,501,Insee
200,547,Istituto per la Ricerca Valutativa sulle Politiche Pubbliche
201,640,ITT Corporation
202,559,IUF
203,571,IUFM
204,509,IZA
205,96,Idaho State University
206,199,Imperial College London
207,460,"Indian Institute of Management, Ahmedabad"
208,459,Indian Institute of Management Calcutta
209,454,Indian Statistical Institute
210,49,IN U
211,574,Innovations for Poverty Action
212,529,Insitut für Höhere Studien
213,511,Institute for Defense Analyses
214,497,Institute for Employment Research (IAB)
215,532,Institute of Applied Economic Research
216,528,IMEMO
217,487,Instituto Nacional de Matemática Pura e Aplicada-IMPA
218,488,Instituto Nacional de Salud Publica
219,580,Inter American Development Bank
